Gene stable ID,TAIR Gene Name ID
AT1G22275,ZYP1b
AT1G22260,ZYP1a
AT5G65930,ZWI
AT1G58270,ZW9
AT1G58330,ZW2
AT1G58350,ZW18
AT3G20870,ZTP29
AT5G57360,ZTL
AT2G36307,ZPR4
AT3G52770,ZPR3
AT3G60890,ZPR2
AT2G45450,ZPR1
AT1G51600,ZML2
AT3G21175,ZML1
AT5G43810,ZLL
AT1G55480,ZKT
AT4G33020,ZIP9
AT2G04032,ZIP7
AT2G30080,ZIP6
AT1G05300,ZIP5
AT1G10970,ZIP4
AT1G56590,ZIP4
AT2G32270,ZIP3
AT5G59520,ZIP2
AT1G55910,ZIP11
AT1G31260,ZIP10
AT3G12750,ZIP1
AT4G24470,ZIM
AT1G08680,ZIGA4
AT3G43790,ZIFL2
AT5G13750,ZIFL1
AT5G13740,ZIF1
AT4G25440,ZFWD1
AT2G41940,ZFP8
AT1G24625,ZFP7
AT1G67030,ZFP6
AT1G10480,ZFP5
AT1G66140,ZFP4
AT5G25160,ZFP3
AT5G57520,ZFP2
AT2G42410,ZFP11
AT1G80730,ZFP1
AT5G16540,ZFN3
AT2G32930,ZFN2
AT3G02830,ZFN1
AT1G69600,ZFHD1
AT1G58340,ZF14
AT5G59440,ZEU1
AT3G04870,ZDS
AT1G59600,ZCW7
AT1G59640,ZCW32
AT1G59560,ZCF61
AT1G59590,ZCF37
AT1G59540,ZCF125
AT3G46090,ZAT7
AT2G46800,ZAT
AT3G50950,ZAR1
AT2G04880,ZAP1
AT4G21160,ZAC
AT1G10830,Z-ISO
AT1G04180,YUC9
AT4G28720,YUC8
AT2G33230,YUC7
AT5G25620,YUC6
AT5G43890,YUC5
AT5G11320,YUC4
AT1G04610,YUC3
AT4G13260,YUC2
AT1G21430,YUC11
AT1G48910,YUC10
AT4G32540,YUC
AT1G48370,YSL8
AT1G65730,YSL7
AT3G27020,YSL6
AT3G17650,YSL5
AT5G41000,YSL4
AT5G53550,YSL3
AT5G24380,YSL2
AT4G24120,YSL1
AT2G35980,YLS9
AT5G08290,YLS8
AT5G51640,YLS7
AT2G38860,YLS5
AT3G51430,YLS2
AT5G21920,YLMG2
AT4G27990,YLMG1-2
AT5G58060,YKT61
AT4G37390,YDK1
ATCG00300,YCF9
ATCG00210,YCF6
ATCG01040,YCF5
ATCG00520,YCF4
AT2G23670,YCF37
ATCG00360,YCF3
ATCG01280,YCF2.2
ATCG00860,YCF2.1
ATCG00530,YCF10
ATCG01130,YCF1.2
ATCG01000,YCF1.1
AT1G67730,YBR159
AT5G07200,YAP169
AT4G05410,YAO
AT5G35980,YAK1
AT2G26580,YAB5
AT4G00180,YAB3
AT1G08465,YAB2
AT1G51510,Y14
AT5G64570,XYL4
AT1G74380,XXT5
AT1G58380,XW6
AT4G25820,XTR9
AT3G44990,XTR8
AT4G14130,XTR7
AT4G25810,XTR6
AT1G32170,XTR4
AT5G57550,XTR3
AT1G14720,XTR2
AT4G03210,XTH9
AT1G11545,XTH8
AT4G37800,XTH7
AT5G65730,XTH6
AT1G10550,XTH33
AT2G36870,XTH32
AT3G25050,XTH3
AT4G18990,XTH29
AT4G28850,XTH26
AT4G13090,XTH2
AT3G23730,XTH16
AT5G57540,XTH13
AT5G57530,XTH12
AT3G48580,XTH11
AT2G14620,XTH10
AT4G13080,XTH1
AT4G00230,XSP1
AT1G75660,XRN3
AT5G42540,XRN2
AT5G48720,XRI
AT3G23100,XRCC4
AT5G57450,XRCC3
AT5G64520,XRCC2
AT3G03110,XPO1B
AT5G17020,XPO1A
AT5G41360,XPB2
AT5G41370,XPB1
AT1G31930,XLG3
AT4G34390,XLG2
AT2G23460,XLG1
AT5G49650,XK-2
AT2G21370,XK-1
AT5G20490,XIK
AT3G58160,XIJ
AT4G28710,XIH
AT2G20290,XIG
AT2G31900,XIF
AT1G54560,XIE
AT2G33240,XID
AT1G08730,XIC
AT1G04160,XIB
AT1G04600,XIA
AT4G33200,XI-I
AT5G33290,XGD1
AT1G58440,XF1
AT3G50980,XERO1
AT2G04240,XERICO
AT2G35610,XEG113
AT2G21150,XCT
AT1G20850,XCP2
AT4G35350,XCP1
AT1G09850,XBCP3
AT3G23280,XBAT35
AT4G14365,XBAT34
AT5G07270,XBAT33
AT5G57740,XBAT32
AT2G28840,XBAT31
AT5G28646,WVD2
AT2G17950,WUS
AT4G01037,WTF1
AT3G15880,WSIP2
AT1G15750,WSIP1
AT5G37300,WSD1
AT1G56510,WRR4
AT4G13870,WRNEXO
AT1G68150,WRKY9
AT5G46350,WRKY8
AT5G13080,WRKY75
AT5G28650,WRKY74
AT5G15130,WRKY72
AT1G29860,WRKY71
AT3G56400,WRKY70
AT4G24240,WRKY7
AT3G58710,WRKY69
AT3G62340,WRKY68
AT1G66550,WRKY67
AT1G80590,WRKY66
AT1G29280,WRKY65
AT1G66560,WRKY64
AT1G66600,WRKY63
AT5G01900,WRKY62
AT1G18860,WRKY61
AT2G25000,WRKY60
AT1G62300,WRKY6
AT2G21900,WRKY59
AT3G01080,WRKY58
AT1G69310,WRKY57
AT1G64000,WRKY56
AT2G40740,WRKY55
AT2G40750,WRKY54
AT4G23810,WRKY53
AT5G64810,WRKY51
AT5G26170,WRKY50
AT5G43290,WRKY49
AT5G49520,WRKY48
AT4G01720,WRKY47
AT2G46400,WRKY46
AT3G01970,WRKY45
AT2G46130,WRKY43
AT4G04450,WRKY42
AT4G11070,WRKY41
AT1G80840,WRKY40
AT1G13960,WRKY4
AT3G04670,WRKY39
AT5G22570,WRKY38
AT1G69810,WRKY36
AT2G34830,WRKY35
AT4G26440,WRKY34
AT2G38470,WRKY33
AT4G30935,WRKY32
AT4G22070,WRKY31
AT5G24110,WRKY30
AT2G03340,WRKY3
AT4G23550,WRKY29
AT4G18170,WRKY28
AT5G52830,WRKY27
AT5G07100,WRKY26
AT2G30250,WRKY25
AT5G41570,WRKY24
AT2G47260,WRKY23
AT4G01250,WRKY22
AT2G30590,WRKY21
AT4G26640,WRKY20
AT5G56270,WRKY2
AT4G12020,WRKY19
AT4G31800,WRKY18
AT2G24570,WRKY17
AT2G23320,WRKY15
AT1G30650,WRKY14
AT4G39410,WRKY13
AT4G31550,WRKY11
AT1G55600,WRKY10
AT3G54320,WRI1
AT5G50200,WR3
AT5G27940,WPP3
AT1G47200,WPP2
AT5G43070,WPP1
AT2G33880,WOX9
AT5G45980,WOX8
AT5G05770,WOX7
AT3G11260,WOX5
AT1G46480,WOX4
AT5G59340,WOX2
AT1G20700,WOX14
AT5G17810,WOX12
AT3G03660,WOX11
AT1G20710,WOX10
AT3G18010,WOX1
AT2G01830,WOL
AT5G28080,WNK9
AT5G41990,WNK8
AT1G49160,WNK7
AT3G18750,WNK6
AT3G51630,WNK5
AT5G58350,WNK4
AT3G48260,WNK3
AT3G22420,WNK2
AT3G04910,WNK1
AT1G10200,WLIM1
AT1G68910,WIT2
AT5G11390,WIT1
AT1G51220,WIP5
AT3G20880,WIP4
AT1G08290,WIP3
AT3G13360,WIP3
AT5G56210,WIP2
AT4G26455,WIP1
AT4G31750,WIN2
AT1G80600,WIN1
AT5G14750,WER
AT1G70560,WEI8
AT1G02970,WEE1
AT2G26570,WEB1
AT3G04630,WDL1
AT5G04260,WCRKC2
AT5G06690,WCRKC1
AT3G13220,WBC27
AT1G17840,WBC11
AT4G18600,WAVE5
AT5G01730,WAVE3
AT1G29170,WAVE2
AT2G34150,WAVE1
AT5G20520,WAV2
AT1G75500,WAT1
AT1G16090,WAKL7
AT1G16110,WAKL6
AT1G16160,WAKL5
AT1G16150,WAKL4
AT1G16130,WAKL2
AT1G79680,WAKL10
AT1G16120,WAKL1
AT1G21230,WAK5
AT1G21210,WAK4
