Gene stable ID	Transcript stable ID	TAIR ID	TAIR Gene Name ID
AT5G16970	AT5G16970.1	AT5G16970	AT-AER
AT4G32100	AT4G32100.1	AT4G32100	
AT2G43120	AT2G43120.1	AT2G43120	
AT2G43120	AT2G43120.2	AT2G43120	
AT1G30814	AT1G30814.3	AT1G30814	
AT1G30814	AT1G30814.2	AT1G30814	
AT1G30814	AT1G30814.4	AT1G30814	
AT1G30814	AT1G30814.1	AT1G30814	
AT3G18710	AT3G18710.1	AT3G18710	PUB29
AT4G25880	AT4G25880.3	AT4G25880	APUM6
AT4G25880	AT4G25880.1	AT4G25880	APUM6
AT4G25880	AT4G25880.5	AT4G25880	APUM6
AT4G25880	AT4G25880.2	AT4G25880	APUM6
AT4G25880	AT4G25880.4	AT4G25880	APUM6
AT1G78930	AT1G78930.1	AT1G78930	
AT3G07950	AT3G07950.1	AT3G07950	
AT4G03450	AT4G03450.1	AT4G03450	
AT4G03450	AT4G03450.2	AT4G03450	
AT1G71695	AT1G71695.1	AT1G71695	
AT1G58983	AT1G58983.1	AT1G58983	
AT1G12980	AT1G12980.1	AT1G12980	ESR1
AT5G41480	AT5G41480.1	AT5G41480	EMB9
AT5G15008	AT5G15008.1	AT5G15008	
AT3G51870	AT3G51870.1	AT3G51870	
AT4G29950	AT4G29950.2	AT4G29950	
AT4G29950	AT4G29950.1	AT4G29950	
AT4G29950	AT4G29950.3	AT4G29950	
AT3G18310	AT3G18310.1	AT3G18310	
AT5G07360	AT5G07360.2	AT5G07360	
AT5G07360	AT5G07360.1	AT5G07360	
AT5G07360	AT5G07360.3	AT5G07360	
AT4G08535	AT4G08535.2		
AT4G08535	AT4G08535.3		
AT4G08535	AT4G08535.1		
AT4G26490	AT4G26490.1	AT4G26490	
AT5G46240	AT5G46240.1	AT5G46240	KAT1
AT5G62260	AT5G62260.2	AT5G62260	
AT5G62260	AT5G62260.1	AT5G62260	
AT5G62260	AT5G62260.3	AT5G62260	
AT4G16955	AT4G16955.1		
AT3G25717	AT3G25717.1	AT3G25717	RTFL16
AT1G45223	AT1G45223.1	AT1G45223	
AT5G35715	AT5G35715.1	AT5G35715	CYP71B8
AT5G41908	AT5G41908.1	AT5G41908	
AT2G21390	AT2G21390.1	AT2G21390	
AT3G48330	AT3G48330.1	AT3G48330	PIMT1
AT3G48330	AT3G48330.4	AT3G48330	PIMT1
AT3G48330	AT3G48330.3	AT3G48330	PIMT1
AT3G48330	AT3G48330.2	AT3G48330	PIMT1
AT4G32710	AT4G32710.1	AT4G32710	
AT3G46440	AT3G46440.2	AT3G46440	UXS5
AT3G46440	AT3G46440.1	AT3G46440	UXS5
AT2G21930	AT2G21930.2	AT2G21930	
AT2G21930	AT2G21930.1	AT2G21930	
AT3G53910	AT3G53910.1	AT3G53910	
AT4G25090	AT4G25090.2	AT4G25090	
AT4G25090	AT4G25090.1	AT4G25090	
AT2G18870	AT2G18870.1	AT2G18870	VEL3
AT1G56250	AT1G56250.1	AT1G56250	AtPP2-B14
AT3G16830	AT3G16830.1	AT3G16830	TPR2
AT5G20470	AT5G20470.1	AT5G20470	
AT5G04950	AT5G04950.1	AT5G04950	NAS1
AT4G13720	AT4G13720.2	AT4G13720	
AT4G13720	AT4G13720.1	AT4G13720	
AT5G50110	AT5G50110.2	AT5G50110	
AT5G50110	AT5G50110.1	AT5G50110	
AT3G03305	AT3G03305.1	AT3G03305	
AT5G66670	AT5G66670.1	AT5G66670	
AT5G66670	AT5G66670.3	AT5G66670	
AT5G66670	AT5G66670.4	AT5G66670	
AT5G66670	AT5G66670.2	AT5G66670	
AT4G08039	AT4G08039.1	AT4G08039	
