Cell_type.x,Gene_symbol.x,Gene_id,Cell.Type,DOI,gene,Tissue_type_PO,Cell_type.y,Gene_symbol.y,Marker_resource
leaf guard cell,MYB60,AT1G08810,Guard cell,10.1016/j.cub.2005.05.048,MYB60,PO0025034,leaf guard cell,MYB60,Experimental
leaf guard cell,MYB60,AT1G08810,Guard cell,10.1016/j.cub.2005.05.048,MYB60,PO0025034,leaf epidermis,MYB60,scRNA-seq
leaf epidermis,AT1G09310,AT1G09310,Mesophyll cell,10.1038/nature13919,AT1G09310,PO0025034,leaf epidermis,AT1G09310,Experimental
leaf epidermis,AT1G09310,AT1G09310,Mesophyll cell,10.1038/nature13919,AT1G09310,PO0025034,leaf epidermis,AT1G09310,scRNA-seq
leaf epidermis,AT1G09310,AT1G09310,Epidermis,10.1093/plcell/koaa060,AT1G09310,PO0025034,leaf epidermis,AT1G09310,Experimental
leaf epidermis,AT1G09310,AT1G09310,Epidermis,10.1093/plcell/koaa060,AT1G09310,PO0025034,leaf epidermis,AT1G09310,scRNA-seq
leaf guard cell,OZS1,AT1G12480,Guard cell,10.1038/nature06720,SLAC1,PO0025034,leaf guard cell,OZS1,Experimental
leaf guard cell,OZS1,AT1G12480,Guard cell,10.1038/nature06720,SLAC1,PO0025034,leaf guard cell,OZS1,scRNA-seq
leaf guard cell,FLP,AT1G14350,Guard cell,10.1105/tpc.105.034116,MYB124,PO0025034,leaf guard cell,FLP,Experimental
leaf guard cell,FLP,AT1G14350,Guard cell,10.1105/tpc.105.034116,MYB124,PO0025034,leaf stomatal complex,FLP,Experimental
leaf guard cell,FLP,AT1G14350,Guard mother cell,10.1146/annurev-arplant-042811-105451,MYB124,PO0025034,leaf guard cell,FLP,Experimental
leaf guard cell,FLP,AT1G14350,Guard mother cell,10.1146/annurev-arplant-042811-105451,MYB124,PO0025034,leaf stomatal complex,FLP,Experimental
leaf stomatal complex,FLP,AT1G14350,Guard cell,10.1105/tpc.105.034116,MYB124,PO0025034,leaf guard cell,FLP,Experimental
leaf stomatal complex,FLP,AT1G14350,Guard cell,10.1105/tpc.105.034116,MYB124,PO0025034,leaf stomatal complex,FLP,Experimental
leaf stomatal complex,FLP,AT1G14350,Guard mother cell,10.1146/annurev-arplant-042811-105451,MYB124,PO0025034,leaf guard cell,FLP,Experimental
leaf stomatal complex,FLP,AT1G14350,Guard mother cell,10.1146/annurev-arplant-042811-105451,MYB124,PO0025034,leaf stomatal complex,FLP,Experimental
leaf mesophyll,LHCB6,AT1G15820,NA,NA,LHCB6,PO0025034,leaf mesophyll,LHCB6,Experimental
leaf mesophyll,LHCB6,AT1G15820,NA,NA,LHCB6,PO0025034,leaf mesophyll,LHCB6,scRNA-seq
leaf mesophyll,LHCB6,AT1G15820,NA,NA,LHCB6,PO0025034,leaf,LHCB6,Bulk RNA-seq
rosette leaf,CYP79F1,AT1G16410,NA,NA,CYP79F1,PO0025034,rosette leaf,CYP79F1,Experimental
rosette leaf,CYP79F1,AT1G16410,NA,NA,CYP79F1,PO0025034,bundle sheath,CYP79F1,scRNA-seq
rosette leaf,CYP79F1,AT1G16410,NA,NA,CYP79F1,PO0025034,leaf,CYP79F1,Bulk RNA-seq
leaf procambium,MP,AT1G19850,NA,NA,ARF5,PO0025034,leaf procambium,MP,Experimental
cotyledon,LEC1,AT1G21970,NA,NA,NFYB9,PO0025034,cotyledon,LEC1,Experimental
leaf mesophyll,SUC2,AT1G22710,Mesophyll cell,10.1111/nph.13941,SUC2,PO0025034,leaf mesophyll,SUC2,Experimental
leaf mesophyll,SUC2,AT1G22710,Mesophyll cell,10.1111/nph.13941,SUC2,PO0025034,leaf epidermis,SUC2,scRNA-seq
leaf mesophyll,SUC2,AT1G22710,Phloem,10.1038/nature02100,SUC2,PO0025034,leaf mesophyll,SUC2,Experimental
leaf mesophyll,SUC2,AT1G22710,Phloem,10.1038/nature02100,SUC2,PO0025034,leaf epidermis,SUC2,scRNA-seq
leaf mesophyll,SUC2,AT1G22710,Phloem,10.1002/j.1460-2075.1994.tb06229.x,SUC2,PO0025034,leaf mesophyll,SUC2,Experimental
leaf mesophyll,SUC2,AT1G22710,Phloem,10.1002/j.1460-2075.1994.tb06229.x,SUC2,PO0025034,leaf epidermis,SUC2,scRNA-seq
leaf mesophyll,SUC2,AT1G22710,Phloem,10.1093/plcell/koaa060,SUC2,PO0025034,leaf mesophyll,SUC2,Experimental
leaf mesophyll,SUC2,AT1G22710,Phloem,10.1093/plcell/koaa060,SUC2,PO0025034,leaf epidermis,SUC2,scRNA-seq
cotyledon,CRF7,AT1G22985,NA,NA,ERF069,PO0025034,cotyledon,CRF7,Experimental
cotyledon,LEC2,AT1G28300,NA,NA,LEC2,PO0025034,cotyledon,LEC2,Experimental
leaf mesophyll,CAB3,AT1G29910,Mesophyll cell,10.1016/0092-8674(93)90459-4,LHCB1.1,PO0025034,leaf mesophyll,CAB3,Experimental
leaf mesophyll,CAB3,AT1G29910,Mesophyll cell,10.1016/0092-8674(93)90459-4,LHCB1.1,PO0025034,leaf mesophyll,CAB3,scRNA-seq
