Accession,Locus,Type,Description,Other,Name(Type),Source
ACL2,ACL2,function,mutants,have,reduced,small_RNAs.csv
ASC1,ASC1,a,screen,for,second,pathogen.csv
AT1G01310,AT1G01310.1,secretory,"proteins,",Antigen,"5,",pathogen.csv
AT1G01340,AT1G01340.2,Cyclic,nucleotide,gated,channel,calcium.csv
AT1G01340,AT1G01340.1,Cyclic,nucleotide,gated,channel,calcium.csv
AT1G02120,AT1G02120.2,(Vascular,Associated,"Death1),",a,defense.csv
AT1G02120,AT1G02120.3,(Vascular,Associated,"Death1),",a,defense.csv
AT1G02120,AT1G02120.1,(Vascular,Associated,"Death1),",a,defense.csv
AT1G02270,AT1G02270.1,family;(source:Araport11),"chloroplast,","nucleus,",3'-5'-exoribonuclease,calcium.csv
AT1G02270,AT1G02270.2,family;(source:Araport11),3'-5'-exoribonuclease,"activity,",LP.02,calcium.csv
AT1G02510,AT1G02510.1,a,member,of,the,calcium.csv
AT1G03370,AT1G03370.2,and,GRAM,domain,containing,calcium.csv
AT1G03370,AT1G03370.1,and,GRAM,domain,containing,calcium.csv
AT1G03475,AT1G03475.1,III,"oxidase,",a,key,defense.csv
AT1G03475,AT1G03475.1,III,"oxidase,",a,key,infection.csv
AT1G03475,AT1G03475.1,III,"oxidase,",a,key,pathogen.csv
AT1G03830,AT1G03830.1,phase,separation,(LLPS)-driven,condensates,immunity.csv
AT1G03830,AT1G03830.2,phase,separation,(LLPS)-driven,condensates,immunity.csv
AT1G03830,AT1G03830.1,phase,separation,(LLPS)-driven,condensates,infection.csv
AT1G03830,AT1G03830.2,phase,separation,(LLPS)-driven,condensates,infection.csv
AT1G03850,AT1G03850.1,"ATGRXS13,",required,to,facilitate,infection.csv
AT1G03850,AT1G03850.2,"ATGRXS13,",required,to,facilitate,infection.csv
AT1G03850,AT1G03850.3,"ATGRXS13,",required,to,facilitate,infection.csv
AT1G03960,AT1G03960.5,hand,family,protein;(source:Araport11),"nucleus,",calcium.csv
AT1G03960,AT1G03960.1,hand,family,protein;(source:Araport11),"nucleus,",calcium.csv
AT1G03960,AT1G03960.6,hand,family,protein;(source:Araport11),"nucleus,",calcium.csv
AT1G03960,AT1G03960.4,hand,family,protein;(source:Araport11),"nucleus,",calcium.csv
AT1G03960,AT1G03960.3,hand,family,protein;(source:Araport11),"nucleus,",calcium.csv
AT1G03960,AT1G03960.2,hand,family,protein;(source:Araport11),"nucleus,",calcium.csv
AT1G03960,AT1G03960.7,hand,family,protein;(source:Araport11),"nucleus,",calcium.csv
AT1G04150,AT1G04150.1,plant,phosphoribosyltransferase,family,protein;(source:Araport11),calcium.csv
AT1G04300,AT1G04300.3,a,TRAF,domain,protein.,immunity.csv
AT1G04300,AT1G04300.5,a,TRAF,domain,protein.,immunity.csv
AT1G04300,AT1G04300.2,a,TRAF,domain,protein.,immunity.csv
AT1G04300,AT1G04300.6,a,TRAF,domain,protein.,immunity.csv
AT1G04300,AT1G04300.4,a,TRAF,domain,protein.,immunity.csv
AT1G04300,AT1G04300.1,a,TRAF,domain,protein.,immunity.csv
AT1G04300,AT1G04300.3,a,TRAF,domain,protein.,pathogen.csv
AT1G04300,AT1G04300.6,a,TRAF,domain,protein.,pathogen.csv
AT1G04300,AT1G04300.5,a,TRAF,domain,protein.,pathogen.csv
AT1G04300,AT1G04300.2,a,TRAF,domain,protein.,pathogen.csv
AT1G04300,AT1G04300.4,a,TRAF,domain,protein.,pathogen.csv
AT1G04300,AT1G04300.1,a,TRAF,domain,protein.,pathogen.csv
AT1G04330,AT1G04330.1,rich,protein,of,unknown,defense.csv
