TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:2126030	AT4G00270	AT4G00270.1	protein_coding	GeBP is a non canonical, nuclear localized leucine zipper transcription factor that binds G-elements.It is strongly expressed in the vegetative meristem and leaf primordium. It regulates genes down stream of a number of signaling pathways including hormone and defense responses.	GEBP; GL1 ENHANCER BINDING PROTEIN; STKR1; STOREKEEPER RELATED 1	 nucleus, DNA-binding transcription factor activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cis-regulatory region sequence-specific DNA binding, collective leaf structure, cotyledon, defense response to oomycetes, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, kinase binding, leaf apex, leaf lamina base, mature plant embryo stage, nucleolus, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, protein binding, protein self-association, regulation of transcription, DNA-templated, root, seed, sepal, shoot apex, shoot apical meristem, shoot system, stamen, stem, transcription cis-regulatory region binding, vascular leaf, vascular leaf primordium, vascular leaf senescent stage	true
Gene:2177698	AT5G64930	AT5G64930.1	protein_coding	Regulator of expression of pathogenesis-related (PR) genes. Participates in signal transduction pathways involved in plant defense (systemic acquired resistance -SAR).	CONSTITUTIVE EXPRESSION OF PR GENES 5; CPR5; HYPERSENESCENCE 1; HYS1; OLD1; ONSET OF LEAF DEATH 1	 chloroplast, nucleus, aging, response to ethylene, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, aging, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, defense response, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, jasmonic acid and ethylene-dependent systemic resistance, jasmonic acid mediated signaling pathway, leaf apex, leaf lamina base, leaf senescence, mature plant embryo stage, membrane, molecular function unknown, nucleus, petal, petal differentiation and expansion stage, petiole, photoperiodism, flowering, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plant-type hypersensitive response, pollen, pollen tube cell, response to ethylene, response to other organism, root, seed, sepal, shoot apex, shoot system, stamen, stem, sugar mediated signaling pathway, systemic acquired resistance, trichome morphogenesis, vascular leaf, vascular leaf senescent stage	true
Gene:1005715343	AT1G52030	AT1G52030.2	protein_coding	Similar to  myrosinase binding proteins which may be involved in metabolizing glucosinolates and forming defense compounds to protect against herbivory. Also similar to lectins and other agglutinating factors. Expressed only in flowers.	F-ATMBP; MBP1.2; MBP2; MYROSINASE-BINDING PROTEIN 2	 cytoplasm, fruit, carbohydrate binding, cell adhesion, cytoplasm, defense response, flower, flower development, fruit, guard cell, response to wounding, seed development stage, thioglucosidase binding, thioglucosidase complex	true
Gene:2043898	AT2G43710	AT2G43710.1	protein_coding	Encodes a stearoyl-ACP desaturase, involved in fatty acid desaturation. The ssi2 mutants have increased 18:0 and reduced 18:1 fatty acids. Exogenous application of glycerol to wild type plants mimics the ssi2 mutant phenotype. The altered 18:1 fatty acid content in the ssi2 mutants has an impact on SA- and JA-mediated defense signaling. ssi2 mutants resulted in hyper-resistance to green peach aphid and antibiosis activity in petiole exudates. Redundant &#916;9 stearoyl-ACP desaturase gene which together with AAD1 and AAD5 during embryo development provide precursors for the elaboration of embryo cuticle and therefore plays a specific role during the phase of invasive embryo growth through the endosperm. Together with AAD1, AAD5, and AAD6 redundantly participates in oil storage during the maturation phase.	ATSSI2; FAB2; FATTY ACID BIOSYNTHESIS 2; LDW1; LESION DWARF MIMIC 1; SSI2; SUPPRESSOR OF SA INSENSITIVE 2	 chloroplast, chloroplast stroma, chloroplast thylakoid, vascular leaf, seedling development stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, acyl-[acyl-carrier-protein] desaturase activity, carpel, cauline leaf, chloroplast, chloroplast stroma, chloroplast thylakoid, collective leaf structure, cotyledon, defense response, defense response to bacterium, defense response to insect, defense response to virus, fatty acid metabolic process, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, jasmonic acid biosynthetic process, leaf apex, leaf lamina base, lipid biosynthetic process, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, regulation of jasmonic acid mediated signaling pathway, regulation of salicylic acid mediated signaling pathway, root, rosette leaf, seed, seed development stage, seedling development stage, sepal, shoot apex, shoot system, stamen, stearoyl-CoA 9-desaturase activity, stearoyl-[acp] desaturase activity, stem, unsaturated fatty acid biosynthetic process, vascular leaf, vascular leaf senescent stage	true
Gene:2138956	AT4G04780	AT4G04780.1	protein_coding	Encodes the med21 subunit of the mediator complex which is involved in transcriptional regulation. MED21 interacts physically with the E3 ligase HUB1 and this interaction may be important in mediation defense responses to fungal pathogens.	MED21; MEDIATOR 21	 nucleus, defense response to fungus, guard cell, mediator complex, nucleus, polar nucleus, protein binding, regulation of transcription by RNA polymerase II, regulation of transcription, DNA-templated, transcription coregulator activity	true
Gene:1005713955	AT4G12720	AT4G12720.2	protein_coding	Encodes a protein with ADP-ribose hydrolase activity. Negatively regulates EDS1-conditioned plant defense and programmed cell death.	ARABIDOPSIS THALIANA NUDIX HYDROLASE HOMOLOG 7; ATNUDT7; GFG1; GROWTH FACTOR GENE 1; NUDT7	 nucleus, vascular leaf, seedling development stage, ADP-glucose pyrophosphohydrolase activity, ADP-ribose diphosphatase activity, ADP-ribose pyrophosphohydrolase activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NAD binding, NAD+ diphosphatase activity, NADH pyrophosphatase activity, carpel, cauline leaf, cellular response to hypoxia, collective leaf structure, cotyledon, cytoplasm, cytosol, defense response to bacterium, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, innate immune response-activating signal transduction, leaf apex, leaf lamina base, mature plant embryo stage, nucleoside-diphosphatase activity, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plant-type hypersensitive response, plasma membrane, pollen, protein binding, protein poly-ADP-ribosylation, regulation of starch biosynthetic process, response to oxidative stress, response to ozone, response to salt stress, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:1005715061	AT2G46370	AT2G46370.2	protein_coding	Encodes a jasmonate-amido synthetase that is a member of the GH3 family of proteins. JAR1 catalyzes the formation of a biologically active jasmonyl-isoleucine (JA-Ile) conjugate. JA-Ile promotes the interaction between JAZ1 and COI1 in the jasmonate signaling pathway. JAR1 localizes to the cytoplasm and is also a phytochrome A signaling component. JAR1 is an auxin-induced gene. Loss of function mutants are defective in a variety of responses to jasmonic acid. JAR1 has additional enzymatic activities in vitro, (e.g. the ability to synthesize adenosine 5'-tetraphosphate and other JA conjugates), but there are no data to show whether JAR1 catalyzes many of these reactions in vivo. JAR1 is involved in pathogen defense, sensitivity to ozone, and wound responses.	ATGH3.11; FAR-RED INSENSITIVE 219; FIN219; JAR1; JASMONATE RESISTANT 1	 nucleus, vacuole, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, acid-amino acid ligase activity, adenylyltransferase activity, amino acid binding, carpel, catalytic activity, cauline leaf, cellular response to auxin stimulus, collective leaf structure, cotyledon, cytoplasm, enzyme binding, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, induced systemic resistance, jasmonic acid mediated signaling pathway, inflorescence meristem, jasmonate-amino synthetase activity, jasmonic acid and ethylene-dependent systemic resistance, jasmonic acid metabolic process, leaf apex, leaf lamina base, leucine binding, mature plant embryo stage, negative regulation of defense response, nucleus, petal, petal differentiation and expansion stage, petiole, photomorphogenesis, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, protein adenylylation, protein binding, red, far-red light phototransduction, regulation of reactive oxygen species metabolic process, regulation of response to red or far red light, regulation of stomatal movement, response to UV-B, response to jasmonic acid, response to mycotoxin, response to ozone, response to wounding, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, systemic acquired resistance, vacuole, vascular leaf, vascular leaf senescent stage	true
Gene:6532563048	AT1G02120	AT1G02120.2	protein_coding	Encodes VAD1 (Vascular Associated Death1), a regulator of cell death and defense responses in vascular tissues.  VAD1 is a putative membrane associated protein and contains a GRAM domain.  vad1 is a lesion mimic mutant that exhibits light conditional appearance of propagative HR (hypersensitive response)-like lesions along the vascular system.The mRNA is cell-to-cell mobile.		 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, defense response to bacterium, endoplasmic reticulum, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, negative regulation of programmed cell death, nucleus, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, pollen tube cell, response to ethylene, response to salicylic acid, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	false
Gene:6532557340	AT1G65486	AT1G65486.3	protein_coding	Secreted peptide which functions in plant growth and pathogen defense.	STMP4	 mitochondrion, cauline leaf, extracellular region, guard cell, mitochondrion, molecular function unknown, nucleus, response to water deprivation, rosette leaf, stem	false
Gene:2167508	AT5G36920	AT5G36920.1	protein_coding	Secreted peptide which functions in plant growth and pathogen defense.	ARACIN2; STMP9	 extracellular region, Golgi apparatus, anther, defense response to other organism, endoplasmic reticulum, extracellular region, fruit, guard cell, lateral root, megagametophyte, molecular function unknown, plasma membrane, response to bacterium, response to external biotic stimulus, shoot apical meristem, trichome	false
