Gene stable ID,RefSeq peptide ID
AT5G16970,NP_197199
AT4G32100,NP_194938
AT2G43120,NP_001323927
AT2G43120,NP_850385
AT1G30814,NP_001031120
AT1G30814,NP_001117392
AT1G30814,NP_001322833
AT1G30814,NP_001117391
AT3G18710,NP_188501
AT4G25880,NP_001329827
AT4G25880,NP_974618
AT4G25880,NP_567733
AT4G25880,NP_001031720
AT4G25880,NP_001329828
AT1G78930,NP_178014
AT3G07950,NP_566326
AT4G03450,NP_001327984
AT4G03450,NP_192254
AT1G71695,NP_177313
AT1G58983,NP_683443
AT1G58983,NP_564737
AT1G58983,NP_564740
AT1G12980,NP_172758
AT5G41480,NP_198963
AT5G15008,NP_001119226
AT3G51870,NP_190755
AT4G29950,NP_001329144
AT4G29950,NP_567836
AT4G29950,NP_974638
AT3G18310,NP_188460
AT5G07360,NP_196353
AT5G07360,NP_001331984
AT5G07360,NP_001078540
AT4G08535,NP_001328273
AT4G08535,NP_001328275
AT4G08535,NP_001328274
AT4G26490,NP_194379
AT5G46240,NP_199436
AT5G62260,NP_001332202
AT5G62260,NP_201032
AT5G62260,NP_001332201
AT4G16955,NP_001328024
AT3G25717,NP_850631
AT1G45223,NP_001077683
AT5G35715,NP_680342
AT5G41908,NP_001318726
AT2G21390,NP_179734
AT3G48330,NP_851013
AT3G48330,NP_680112
AT3G48330,NP_001326364
AT3G48330,NP_001326363
AT4G32710,NP_001320117
AT3G46440,NP_001030820
AT3G46440,NP_190228
AT2G21930,
AT2G21930,NP_179784
AT2G21930,NP_001318264
AT3G53910,NP_190959
AT4G25090,NP_194239
AT4G25090,NP_001190833
AT2G18870,NP_179477
AT1G56250,NP_176021
AT3G16830,NP_188306
AT5G20470,NP_197547
AT5G04950,NP_196114
AT4G13720,NP_567410
AT4G13720,NP_001328955
AT5G50110,NP_568720
AT5G50110,NP_001332502
AT3G03305,NP_566200
AT5G66670,NP_001331712
AT5G66670,NP_201468
AT5G66670,NP_001318891
AT5G66670,NP_001078809
AT4G08039,NP_001031592
AT2G38310,NP_565887
AT2G26900,NP_850089
AT5G23000,NP_197691
AT1G66852,NP_001117561
AT1G69810,NP_001321291
AT1G69810,NP_564976
AT1G72450,NP_001321693
AT1G72450,NP_565043
AT5G03560,NP_001318470
AT5G03560,NP_001154694
AT5G03560,NP_001331042
AT5G03560,NP_568123
AT4G27340,NP_001329895
AT4G27340,NP_001329896
AT4G27340,NP_194464
AT1G76280,NP_001322865
AT1G76280,NP_001031285
AT1G76280,NP_001322864
AT1G76280,NP_001185409
AT1G76280,NP_177755
AT3G03272,NP_001078100
AT3G28960,NP_189538
AT3G28960,NP_001327237
AT3G28960,NP_001319665
AT3G28960,NP_001327239
AT3G28960,NP_001327238
AT1G65630,NP_564856
AT3G10210,NP_566369
AT4G27830,NP_001328392
AT4G27830,NP_567787
AT1G71390,NP_001321997
AT1G71390,NP_177295
AT5G46260,NP_199438
AT2G32710,NP_850196
AT2G32710,NP_565750
AT5G27680,NP_001330796
AT5G27680,NP_001330794
AT5G27680,NP_001330792
AT5G27680,NP_568499
AT5G27680,NP_001330793
AT5G27680,NP_001330795
AT4G19380,NP_193673
AT4G19380,NP_001329018
AT5G61960,NP_568946
AT5G61960,NP_001032122
AT5G61960,NP_001318861
AT5G61960,NP_001330765
AT5G61960,NP_001330770
AT5G61960,NP_001330766
AT5G61960,NP_001330764
AT5G61960,NP_001330771
AT5G61960,NP_001330768
AT5G61960,NP_001330769
AT5G61960,NP_001330767
AT4G29180,NP_001190865
AT4G29180,NP_194647
AT4G29180,NP_001328257
AT3G09680,NP_566351
AT1G56233,NP_001031198
AT1G15210,NP_172973
AT3G63470,NP_191906
AT2G16970,NP_001318235
AT2G16970,NP_001323496
AT2G16970,NP_001323500
AT2G16970,NP_001323498
AT2G16970,NP_001323501
AT2G16970,NP_001323499
AT2G16970,NP_001323497
AT2G16970,NP_001323502
AT1G15250,NP_001319009
AT1G15250,NP_172977
AT1G79700,NP_001077849
AT1G79700,NP_001322218
AT1G79700,NP_178088
AT1G79700,NP_001322217
AT2G46620,NP_182185
AT3G46920,NP_001319699
AT3G46920,NP_001326091
AT2G43750,NP_001189745
AT2G43750,NP_181903
AT1G62895,NP_001321703
AT2G24490,NP_001118376
AT2G24490,NP_565571
AT3G57080,NP_191267
AT3G13820,NP_187998
AT2G15080,NP_179112
AT2G15080,NP_849957
AT1G73360,NP_177479
AT1G16360,NP_173086
AT1G16360,NP_001320564
AT1G16360,NP_001320563
AT1G16360,NP_001320565
AT1G16360,NP_001320562
AT1G10225,NP_001154323
AT3G49770,NP_190546
AT4G31660,NP_194894
AT1G26670,NP_564255
AT1G34855,NP_001321233
AT1G52200,NP_564602
AT1G52200,NP_001321964
AT1G57800,NP_001321213
AT1G57800,NP_176091
AT4G23200,NP_001320040
AT4G23200,NP_001328465
AT1G69460,NP_177105
AT1G04310,NP_001323287
AT1G04310,NP_171927
AT1G08080,NP_172287
AT2G37678,NP_001323653
AT2G37678,NP_001078018
AT3G56070,NP_001319764
AT3G56070,NP_191166
AT5G15420,NP_197046
AT5G06020,NP_196221
AT3G15251,NP_001118632
AT1G75550,NP_001321387
AT1G75550,NP_177687
AT1G71890,NP_177334
AT1G05430,NP_563739
AT4G29810,NP_001119079
AT4G29810,NP_194710
AT4G29810,NP_001031751
AT3G02780,NP_186927
AT3G02780,NP_001325698
AT4G26560,NP_194386
AT1G80870,NP_178202
AT4G23670,NP_194098
AT2G46225,NP_001189756
AT2G46225,NP_001118534
AT2G46225,NP_566067
AT5G18730,NP_197374
AT5G67570,NP_201558
AT1G75310,NP_177666
AT1G75310,NP_001320612
AT5G29054,NP_001119301
AT2G27700,NP_001118399
AT2G27700,NP_180338
AT1G02010,NP_001320383
AT1G02010,NP_001320384
AT1G02010,NP_001320381
AT1G02010,NP_563643
AT1G02010,NP_001320382
AT1G02010,NP_001184888
AT1G47900,NP_175226
AT1G47900,NP_001322347
AT1G47900,NP_001185167
