TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:4515100502	AT1G06680	AT1G06680.2	protein_coding	Encodes a 23 kD extrinsic protein that is part of photosystem II and participates in the regulation of oxygen evolution. Phosphorylation of this protein is dependent on calcium. In plsp1-1 mutant plastids, the nonmature form of the protein localizes in the stroma. The mRNA is cell-to-cell mobile.	OEE2; OXYGEN-EVOLVING ENHANCER PROTEIN 2; PHOTOSYSTEM II SUBUNIT P; PHOTOSYSTEM II SUBUNIT P-1; PSBP-1; PSII-P	 chloroplast, thylakoid, apoplast, defense response to bacterium, cotyledon, vascular leaf, seedling development stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, apoplast, calcium ion binding, carpel, cauline leaf, cell-to-cell mobile RNA, chloroplast, chloroplast envelope, chloroplast stroma, chloroplast thylakoid, chloroplast thylakoid lumen, chloroplast thylakoid membrane, collective leaf structure, cotyledon, cultured plant cell, defense response to bacterium, extracellular region, extrinsic component of membrane, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, juvenile vascular leaf, leaf apex, leaf lamina base, mRNA binding, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, photosynthesis, light reaction, photosystem II oxygen evolving complex, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, poly(U) RNA binding, root, rosette leaf, seed, seed development stage, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, thylakoid, thylakoid lumen, vascular bundle, vascular leaf, vascular leaf senescent stage	true
Gene:6530297854	AT5G24270	AT5G24270.2	protein_coding	encodes a calcium sensor that is essential for K+ nutrition, K+/Na+ selectivity, and salt tolerance. The protein is similar to calcineurin B.  Lines carrying recessive mutations are hypersensitive to Na+ and Li+ stresses and is unable to grow in low K+. The growth defect is rescued by extracellular calcium.	SALT OVERLY SENSITIVE 3; SOS3	 plasma membrane, N-terminal protein myristoylation, calcineurin complex, calcium ion binding, calcium-dependent protein serine/threonine phosphatase activity, cellular potassium ion homeostasis, collective leaf structure, cytoplasm, detection of calcium ion, flowering stage, guard cell, hypocotyl, hypotonic salinity response, petal, petal differentiation and expansion stage, plasma membrane, protein binding, root, sepal, stem	true
Gene:6532552954	AT5G47710	AT5G47710.3	protein_coding	Calcium-dependent lipid-binding (CaLB domain) family protein;(source:Araport11)		 GTPase activator activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, phospholipid binding, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plastid, pollen, positive regulation of GTPase activity, positive regulation of abscisic acid-activated signaling pathway, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vacuole, vascular leaf, vascular leaf senescent stage	true
Gene:6532553047	AT3G57530	AT3G57530.2	protein_coding	Calcium-dependent Protein Kinase. ABA signaling component that regulates the ABA-responsive gene expression via ABF4. AtCPK32 has autophosphorylation activity and can phosphorylate ABF4 in vitro		 plasma membrane, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, abscisic acid-activated signaling pathway, anther, calcium ion binding, calcium-dependent protein kinase C activity, calcium-dependent protein serine/threonine kinase activity, calmodulin binding, calmodulin-dependent protein kinase activity, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, intracellular signal transduction, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, peptidyl-serine phosphorylation, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plasmodesma, pollen, pollen tube cell, protein autophosphorylation, protein binding, protein phosphorylation, protein serine kinase activity, response to abscisic acid, response to salt stress, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, stigma, vascular leaf, vascular leaf senescent stage	true
Gene:6530297619	AT4G36070	AT4G36070.2	protein_coding	member of Calcium Dependent Protein Kinase	CALCIUM-DEPENDENT PROTEIN KINASE 18; CPK18	 plasma membrane, M germinated pollen stage, calcium ion binding, calcium-dependent protein serine/threonine kinase activity, calmodulin binding, calmodulin-dependent protein kinase activity, cytoplasm, intracellular signal transduction, nucleus, peptidyl-serine phosphorylation, plant sperm cell, plasma membrane, pollen, protein autophosphorylation, protein kinase activity, protein phosphorylation, protein serine kinase activity	true
Gene:6532563938	AT2G17290	AT2G17290.2	protein_coding	Encodes calcium dependent protein kinase 6 (CPK6), a member of the Arabidopsis CDPK gene family.  CDPKs contain an intrinsic Ca2+-activation domain with four EF hand Ca2+-binding sites.  CDPKs protein kinases have been proposed to function in multiple plant signal transduction pathways downstream of [Ca2+]cyt elevations, thus transducing various physiological responses.  CPK6 is expressed in both guard cells and mesophyll cells.  Functions in guard cell ion channel regulation.   ABA and Ca(2+) activation of slow-type anion channels and, interestingly, ABA activation of plasma membrane Ca(2+)-permeable channels were impaired in independent alleles of single and double cpk3cpk6 mutant guard cells.  Furthermore, ABA- and Ca(2+)-induced stomatal closing were partially impaired in these cpk3cpk6 mutant alleles.  The protein kinase CPK6 is shown in biochemical assays to be directly activated by elevations in calcium concentrations in the physiological range (Laanements et al., 2013 PlantPhys.; PMID: 23766366). These data correlate with the in vivo function of CPK6 in Ca2+ and ABA activation of S-type anion channels (Mori et al., 2006 PLoS Biol.;  PMID: 17032064) and the ability of CPK6 to mediate ABA activation of SLAC1 (Brandt et al., 2012 PNAS; PMID: 22689970).The mRNA is cell-to-cell mobile.		 plasma membrane, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NOT cytosol, abscisic acid-activated signaling pathway, calcium ion binding, calcium-dependent protein serine/threonine kinase activity, calmodulin binding, calmodulin-dependent protein kinase activity, carpel, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, intracellular signal transduction, leaf apex, leaf lamina base, mature plant embryo stage, membrane, mesophyll cell, mitochondrion, nucleus, peptidyl-serine phosphorylation, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, pollen tube cell, protein autophosphorylation, protein binding, protein phosphorylation, protein serine kinase activity, protein serine/threonine kinase activity, regulation of anion channel activity, regulation of stomatal movement, regulation of stomatal opening, response to abscisic acid, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:504953207	AT4G04695	AT4G04695.1	protein_coding	member of Calcium Dependent Protein Kinase. Involved in response to salicylic acid, regulated by Bacillus amyloliquefaciens under high calcium stress.	CALCIUM-DEPENDENT PROTEIN KINASE 31; CPK31	 plasma membrane, calcium ion binding, calcium-dependent protein serine/threonine kinase activity, calmodulin binding, calmodulin-dependent protein kinase activity, cytoplasm, guard cell, intracellular signal transduction, nucleus, peptidyl-serine phosphorylation, plasma membrane, protein autophosphorylation, protein serine kinase activity, response to salicylic acid	false
Gene:2063057	AT2G40410	AT2G40410.1	protein_coding	Encodes a Ca(2+)-dependent nuclease that can degrade both DNA and RNA.	ATCAN2; CA2+-DEPENDENT NUCLEASE; CALCIUM DEPENDENT NUCLEASE 2; CAN2	 DNA catabolic process, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, RNA catabolic process, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, endodeoxyribonuclease activity, endoribonuclease activity, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nuclease activity, nucleus, petal, petal differentiation and expansion stage, petiole, plant egg cell, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2120672	AT4G22120	AT4G22120.1	protein_coding	Calcium-permeable stretch activated cation channel.	CALCIUM PERMEABLE STRESS-GATED CATION CHANNEL 1; CSC1; OSCA1.2	 plasma membrane, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, calcium activated cation channel activity, carpel, cation transport, cauline leaf, collective leaf structure, endosperm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mechanosensitive ion channel activity, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2201915	AT1G10130	AT1G10130.1	protein_coding	Encodes a golgi localized P2A-type Ca2+ ATPase involved in Mn nutrition and homeostasis.	ARABIDOPSIS THALIANA ER-TYPE CA2+-ATPASE 3; ATECA3; ECA3; ENDOPLASMIC RETICULUM-TYPE CALCIUM-TRANSPORTING ATPASE 3	 Golgi apparatus, nucleus, plant callus, ABC-type manganese transporter activity, ATP hydrolysis activity, Golgi apparatus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, P-type calcium transporter activity, P-type proton-exporting transporter activity, calcium ion transmembrane transport, calcium ion transport, carpel, cauline leaf, cellular calcium ion homeostasis, collective leaf structure, cotyledon, endomembrane system, endosome, flower, flower pedicel, flowering stage, fruit, guard cell, hydathode, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, manganese ion homeostasis, manganese ion transport, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, portion of vascular tissue, root, root development, seed, sepal, shoot apex, shoot system, stamen, stem, trans-Golgi network, vascular leaf, vascular leaf senescent stage	true
