peptide,type
NP_172668,RLP
XP_010325831,KIN
XP_010325830,KIN
XP_025884989,CN
NP_001031216,CNL
XP_004236673,KIN
NP_200840,KIN
NP_191114,KIN
XP_025885587,KIN
XP_015641185,N
XP_025878556,CK
XP_015641188,KIN
NP_190600,KIN
XP_004238525,RLK
XP_015639285,KIN
XP_004248172,KIN
XP_004249716,RLP
XP_025882918,CN
XP_004248174,N
NP_001330031,N
NP_001330030,N
NP_001330033,N
NP_001330032,N
NP_001330035,N
NP_001330034,N
NP_001331744,CK
NP_973556,KIN
XP_004236264,CL
NP_001320574,CN
XP_004231541,KIN
XP_015639495,N
XP_015642986,RLK
XP_015642987,RLK
XP_025887981,RLK
XP_004241305,KIN
XP_010324409,KIN
NP_001233883,RLK
XP_010322115,RLK
XP_010322111,CLK
XP_015618596,RLK
XP_004229888,CK
XP_015618595,RLK
XP_004248798,CN
NP_173203,TNL
NP_001320855,KIN
NP_173205,TN
NP_173204,TN
XP_015642181,KIN
XP_015645459,KIN
XP_015638087,KIN
XP_015642188,KIN
NP_001332515,CN
XP_004249557,RLK
XP_004244306,KIN
XP_004249553,KIN
XP_015650614,KIN
XP_015631255,KIN
XP_015631256,KIN
XP_025882722,RLP
NP_001118925,RLP
XP_004252485,RLP
XP_015645989,KIN
XP_015645988,KIN
NP_001318840,RLK
XP_015621393,KIN
XP_004230142,KIN
NP_001321226,NL
NP_001321224,TNL
NP_001321225,TNL
XP_010316620,KIN
XP_010316621,KIN
NP_001321228,KIN
NP_001321229,KIN
NP_001189636,L
NP_001332298,KIN
XP_015637399,KIN
NP_001234146,KIN
NP_849685,KIN
XP_015648911,CN
NP_001154317,RLP
NP_001154318,RLP
XP_015646184,KIN
XP_015646181,KIN
NP_001319070,KIN
XP_004247017,RLK
NP_001185131,RLP
NP_849425,KIN
NP_849424,KIN
NP_849427,KIN
XP_015614267,KIN
NP_177438,TN
NP_177430,TN
NP_177432,TN
NP_177433,TN
NP_177434,TN
NP_177435,TN
NP_177436,T
NP_177437,TN
NP_197402,KIN
NP_197154,CK
XP_025888756,KIN
NP_194171,KIN
NP_194179,KIN
XP_025886376,KIN
XP_025886374,NL
NP_567234,KIN
NP_567233,KIN
XP_025886371,N
NP_171870,KIN
XP_015633678,KIN
XP_015633679,KIN
NP_176135,NL
NP_193725,T
NP_181758,RLK
NP_194717,RLP
NP_194710,KIN
XP_019069083,CK
XP_015635635,KIN
XP_025876870,KIN
XP_015633494,KIN
XP_015644462,KIN
XP_015644461,KIN
XP_004248175,NL
XP_025887173,RLP
NP_001328105,KIN
NP_001321424,KIN
NP_001327819,KIN
XP_004251441,KIN
NP_175170,CT
XP_015634953,RLK
NP_198819,KIN
NP_001323484,RLK
XP_015622076,KIN
NP_001323483,RLK
NP_001329411,TNL
NP_195442,RLK
NP_001319642,NL
NP_196857,KIN
NP_001331021,CN
NP_001331020,CN
NP_001331022,CN
XP_015617615,CN
