TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:2094765	AT3G21290	AT3G21290.1	protein_coding	Nuclear-localized intrinsically disordered protein involved in promoting miRNA activity.	CARP9; CONSTITUTIVE ALTERATIONS IN THE SMALL RNAS PATHWAYS9	 nucleus, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, gene silencing by miRNA, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, miRNA binding, nucleus, obsolete gene silencing, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, protein binding, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532559346	AT3G21290	AT3G21290.2	protein_coding	Nuclear-localized intrinsically disordered protein involved in promoting miRNA activity.	CARP9; CONSTITUTIVE ALTERATIONS IN THE SMALL RNAS PATHWAYS9	 nucleus, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, gene silencing by miRNA, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, miRNA binding, nucleus, obsolete gene silencing, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, protein binding, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2046986	AT2G21150	AT2G21150.1	protein_coding	Encodes a nuclear localized XAP5 family protein involved in light regulation of the circadian clock and photomorphogenesis. XCT loss of function mutations also show decreased levels of DCL1, 3 and 4 and correspondingly lower levels of certain small RNAs suggesting a role in sRNA biogenesis.	XAP5 CIRCADIAN TIMEKEEPER; XCT	 nucleus, cultured plant cell, adult vascular leaf, chromatin organization, cultured plant cell, ethylene-activated signaling pathway, flower, guard cell, hypocotyl, juvenile vascular leaf, molecular function unknown, nucleus, production of miRNAs involved in gene silencing by miRNA, regulation of circadian rhythm, regulation of photomorphogenesis, response to blue light, response to red light, root, stem, trichome	true
Gene:6532555683	AT3G50100	AT3G50100.2	protein_coding	Encodes an exonuclease that degrades single-stranded small RNAs in vitro and limits the accumulation of small RNAs in vivo.		 cytoplasm, 3'-5' exonuclease activity, 3'-5'-exoribonuclease activity, 3'-5'-exoribonuclease activity involved in mature miRNA 3'-end processing, cytoplasm, exonuclease activity, guard cell, miRNA binding, miRNA catabolic process, nucleic acid binding, nucleus, protein binding	true
Gene:4010713098	AT5G10140	AT5G10140.2	protein_coding	MADS-box protein encoded by FLOWERING LOCUS C - transcription factor that functions as a repressor of floral transition and contributes to temperature compensation of the circadian clock. Expression is downregulated during cold treatment. Vernalization, FRI and the autonomous pathway all influence the state of FLC chromatin.  Histone H3 trimethylation at lysine 4 and histone acetylation are associated with active FLC expression, whereas histone deacetylation and histone H3 dimethylation at lysines 9 and 27 are involved in FLC repression. Expression is also repressed by two small RNAs (30- and 24-nt) complementary to the FLC sense strand 3’ to the polyA site. The small RNAs are most likely derived from an antisense transcript of FLC. Interacts with SOC1 and FT chromatin in vivo. Member of a protein complex.	AGAMOUS-LIKE 25; AGL25; FLC; FLF; FLOWERING LOCUS C; FLOWERING LOCUS F; REDUCED STEM BRANCHING 6; RSB6	 nucleus, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding, anther, collective leaf structure, cotyledon, floral meristem determinacy, flower, guard cell, hypocotyl, integument, negative regulation of flower development, nucleus, petal differentiation and expansion stage, plant embryo, plant embryo cotyledonary stage, portion of meristem tissue, positive regulation of transcription by RNA polymerase II, protein binding, protein dimerization activity, protein-containing complex, regulation of circadian rhythm, regulation of transcription by RNA polymerase II, response to temperature stimulus, root, root tip, seed, seed dormant stage, seed germination stage, sepal, shoot apex, transcription cis-regulatory region binding, vernalization response	true
Gene:6530297748	AT5G10140	AT5G10140.4	protein_coding	MADS-box protein encoded by FLOWERING LOCUS C - transcription factor that functions as a repressor of floral transition and contributes to temperature compensation of the circadian clock. Expression is downregulated during cold treatment. Vernalization, FRI and the autonomous pathway all influence the state of FLC chromatin. Both maternal and paternal alleles are reset by vernalization, but their earliest activation differs in timing and location. Histone H3 trimethylation at lysine 4 and histone acetylation are associated with active FLC expression, whereas histone deacetylation and histone H3 dimethylation at lysines 9 and 27 are involved in FLC repression. Expression is also repressed by two small RNAs (30- and 24-nt) complementary to the FLC sense strand 3? to the polyA site. The small RNAs are most likely derived from an antisense transcript of FLC. Interacts with SOC1 and FT chromatin in vivo. Member of a protein complex.	AGAMOUS-LIKE 25; AGL25; FLC; FLF; FLOWERING LOCUS C; FLOWERING LOCUS F; REDUCED STEM BRANCHING 6; RSB6	 nucleus, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding, anther, collective leaf structure, cotyledon, floral meristem determinacy, flower, guard cell, hypocotyl, integument, negative regulation of flower development, nucleus, petal differentiation and expansion stage, plant embryo, plant embryo cotyledonary stage, portion of meristem tissue, positive regulation of transcription by RNA polymerase II, protein binding, protein dimerization activity, protein-containing complex, regulation of circadian rhythm, regulation of transcription by RNA polymerase II, response to temperature stimulus, root, root tip, seed, seed dormant stage, seed germination stage, sepal, shoot apex, transcription cis-regulatory region binding, vernalization response	true
Gene:2063936	AT2G39740	AT2G39740.1	protein_coding	Encodes HESO1 (HEN1 suppressor 1), a terminal nucleotidyl transferase that uridylates miRNAs and siRNAs at 3&#8242; end. HESO1-mediated 3&#8242; uridylation destabilizes small RNAs in hen1.	HEN1 SUPPRESSOR 1; HESO1	 cytoplasm, RNA 3' uridylation, RNA 3'-end processing, RNA uridylyltransferase activity, cytoplasm, guard cell, nucleotidyltransferase activity, nucleus, regulation of gene silencing by miRNA	true
Gene:2083162	AT3G50100	AT3G50100.1	protein_coding	Encodes an exonuclease that degrades single-stranded small RNAs in vitro and limits the accumulation of small RNAs in vivo. Initiates the turnover of ARGONAUTE1 (AGO1)-bound microRNAs in Arabidopsis by trimming their 3&#8242; ends.	SDN1; SMALL RNA DEGRADING NUCLEASE 1	 cytoplasm, 3'-5' exonuclease activity, 3'-5'-exoribonuclease activity, 3'-5'-exoribonuclease activity involved in mature miRNA 3'-end processing, cytoplasm, exonuclease activity, guard cell, miRNA binding, miRNA catabolic process, nucleic acid binding, nucleus, protein binding	true
Gene:6532553973	AT1G24706	AT1G24706.9	protein_coding	Encodes a component of the putative Arabidopsis THO/TREX complex: THO1 or HPR1 (At5g09860), THO2 (At1g24706), THO3 or TEX1 (At5g56130), THO5 (At5g42920, At1g45233), THO6 (At2g19430), and THO7 (At5g16790, At3g02950). THO/TREX complexes in animals have been implicated in the transport of mRNA precursors.  Mutants of THO3/TEX1, THO1, THO6 accumulate reduced amount of small interfering (si)RNA, suggesting a role of the putative Arabidopsis THO/TREX in siRNA biosynthesis.	EMB2793; EMBRYO DEFECTIVE 2793; THO2	 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, RNA binding, THO complex, THO complex part of transcription export complex, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mRNA binding, mRNA export from nucleus, mRNA processing, mature plant embryo stage, miRNA transport, nuclear speck, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, production of miRNAs involved in gene silencing by miRNA, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532553974	AT1G24706	AT1G24706.8	protein_coding	Encodes a component of the putative Arabidopsis THO/TREX complex: THO1 or HPR1 (At5g09860), THO2 (At1g24706), THO3 or TEX1 (At5g56130), THO5 (At5g42920, At1g45233), THO6 (At2g19430), and THO7 (At5g16790, At3g02950). THO/TREX complexes in animals have been implicated in the transport of mRNA precursors.  Mutants of THO3/TEX1, THO1, THO6 accumulate reduced amount of small interfering (si)RNA, suggesting a role of the putative Arabidopsis THO/TREX in siRNA biosynthesis.	EMB2793; EMBRYO DEFECTIVE 2793; THO2	 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, RNA binding, THO complex, THO complex part of transcription export complex, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mRNA binding, mRNA export from nucleus, mRNA processing, mature plant embryo stage, miRNA transport, nuclear speck, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, production of miRNAs involved in gene silencing by miRNA, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
