TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:6532553464	AT3G10390	AT3G10390.3	protein_coding	Encodes a plant homolog of a SWIRM domain containing protein found in histone deacetylase complexes in mammals. Lesions in FLD result in hyperacetylation of histones in FLC chromatin, up-regulation of FLC expression and extremely delayed flowering. FLD plays a key role in regulating the reproductive competence of the shoot and results in different developmental phase transitions in Arabidopsis.		 chloroplast, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, histone deacetylation, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, oxidoreductase activity, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, positive regulation of flower development, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, vegetative to reproductive phase transition of meristem	false
Gene:1009022962	CIM13	CIM13	unknown	A genetic locus involved in systemic acquired resistance. Mutant lines exhibit constitutive expression of PR1 promoter-reporter transgene and has high levels of salicylic acid.No sequence reported as of 8/2020.	CIM13; CONSTITUTIVE IMMUNITY 13	 cellular component unknown, molecular function unknown, systemic acquired resistance, salicylic acid mediated signaling pathway, cellular component unknown, molecular function unknown, systemic acquired resistance, salicylic acid mediated signaling pathway	false
Gene:2126305	AT4G31180	AT4G31180.1	protein_coding	The IBI1 gene encodes an aspartyl tRNA synthetase (AspRS). In addition, the IBI1 protein acts as a receptor protein of the chemical plant defence activator beta-aminobutyric acid (BABA). Binding of IBI1 to the active R-enantiomer of BABA primes non-canonical defence activity of the AspRS protein against pathogen attack.	IBI1; IMPAIRED IN BABA-INDUCED DISEASE IMMUNITY 1	 response to cadmium ion, seed, vascular leaf, cultured plant cell, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, RNA binding, aminoacyl-tRNA synthetase multienzyme complex, aspartate-tRNA ligase activity, aspartyl-tRNA aminoacylation, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, cytosol, defense response to fungus, endoplasmic reticulum, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, response to cadmium ion, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, whole plant	true
Gene:1005840138	CIM6	CIM6	unknown	A genetic locus involved in systemic acquired resistance. Mutant lines exhibit constitutive expression of PR1 promoter-reporter transgene and has high levels of salicylic acid. Genetically maps to chr 1 between markers nag280 and m185.	CIM6; CONSTITUTIVE IMMUNITY 6	 cellular component unknown, molecular function unknown, systemic acquired resistance, salicylic acid mediated signaling pathway, cellular component unknown, molecular function unknown, systemic acquired resistance, salicylic acid mediated signaling pathway	false
Gene:2039264	AT2G35930	AT2G35930.1	protein_coding	Encodes a cytoplasmically localized U-box domain containing E3 ubiquitin ligase that is involved in the response to water stress and acts as a negative regulator of PAMP-triggered immunity.	ATPUB23; PLANT U-BOX 23; PUB23	 cytoplasm, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, collective leaf structure, cotyledon, cotyledon vascular system, cytoplasm, cytosol, defense response, flower, guard cell, hypocotyl, leaf apex, mesophyll, petal differentiation and expansion stage, petiole, pollen, pollen tube cell, protein autoubiquitination, protein ubiquitination, respiratory burst involved in defense response, response to chitin, response to water deprivation, root, shoot apex, stem, ubiquitin-protein transferase activity, vascular leaf	true
Gene:2170482	AT5G46330	AT5G46330.1	protein_coding	Encodes a leucine-rich repeat serine/threonine protein kinase that is expressed ubiquitously. FLS2 is involved in MAP kinase signalling relay involved in innate immunity. Essential in the perception of flagellin, a potent elicitor of the defense response.  FLS2 is directed for degradation by the bacterial ubiquitin ligase AvrPtoB. The mRNA is cell-to-cell mobile.	FLAGELLIN-SENSITIVE 2; FLS2; MPL12.8	 plasma membrane, cultured plant cell, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, cultured plant cell, defense response by callose deposition in cell wall, defense response to bacterium, detection of bacterium, endosome, epidermal cell, flower, flowering stage, guard cell, hypocotyl, identical protein binding, inflorescence meristem, kinase activity, leaf apex, leaf lamina base, membrane, petal differentiation and expansion stage, petiole, plant embryo, plant embryo globular stage, plasma membrane, pollen, protein binding, protein phosphorylation, protein serine kinase activity, receptor-mediated endocytosis, regulation of anion channel activity, root, root tip, sepal, stamen, stem, transmembrane receptor protein serine/threonine kinase activity, vascular leaf, vascular leaf senescent stage	true
Gene:1009022292	AT5G60410	AT5G60410.4	protein_coding	Encodes  a plant small ubiquitin-like modifier (SUMO) E3 ligase that is a focal controller of Pi starvation-dependent responses. Also required for SA and PAD4-mediated R gene signalling, which in turn confers innate immunity in Arabidopsis.  Also involved in the regulation of plant growth, drought responses and freezing tolerance. This latter effect is most likely due to SIZ1 dependent ABI5 sumoylation. Regulates leaf cell division and expansion through salicylic acid accumulation.  signaling	ATSIZ1; SAP AND MIZ1 DOMAIN- CONTAINING LIGASE1; SIZ1	 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT induced systemic resistance, jasmonic acid mediated signaling pathway, SUMO ligase activity, SUMO transferase activity, carpel, cauline leaf, cell division, cellular response to phosphate starvation, collective leaf structure, cotyledon, detection of phosphate ion, developmental growth, embryo sac development, flower, flower pedicel, flowering stage, guard cell, heat acclimation, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, negative regulation of flower development, negative regulation of systemic acquired resistance, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant ovule development, plant sperm cell, pollen, pollen tube guidance, protein binding, protein sumoylation, regulation of abscisic acid-activated signaling pathway, regulation of growth, regulation of nitrate assimilation, regulation of response to water deprivation, regulation of salicylic acid metabolic process, response to freezing, response to water deprivation, root, seed, sepal, shoot apex, shoot regeneration, shoot system, stamen, stem, unidimensional cell growth, vascular leaf, vascular leaf senescent stage, whole plant, zinc ion binding	true
Gene:6532548162	AT5G60410	AT5G60410.6	protein_coding	Encodes  a plant small ubiquitin-like modifier (SUMO) E3 ligase that is a focal controller of Pi starvation-dependent responses. Also required for SA and PAD4-mediated R gene signalling, which in turn confers innate immunity in Arabidopsis.  Also involved in the regulation of plant growth, drought responses and freezing tolerance. This latter effect is most likely due to SIZ1 dependent ABI5 sumoylation. Regulates leaf cell division and expansion through salicylic acid accumulation.  signaling		 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT induced systemic resistance, jasmonic acid mediated signaling pathway, SUMO ligase activity, SUMO transferase activity, carpel, cauline leaf, cell division, cellular response to phosphate starvation, collective leaf structure, cotyledon, detection of phosphate ion, developmental growth, embryo sac development, flower, flower pedicel, flowering stage, guard cell, heat acclimation, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, negative regulation of flower development, negative regulation of systemic acquired resistance, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant ovule development, plant sperm cell, pollen, pollen tube guidance, protein binding, protein sumoylation, regulation of abscisic acid-activated signaling pathway, regulation of growth, regulation of nitrate assimilation, regulation of response to water deprivation, regulation of salicylic acid metabolic process, response to freezing, response to water deprivation, root, seed, sepal, shoot apex, shoot regeneration, shoot system, stamen, stem, unidimensional cell growth, vascular leaf, vascular leaf senescent stage, whole plant, zinc ion binding	true
Gene:6532555963	AT5G60120	AT5G60120.5	protein_coding	AP2 family transcription factor that is involved in regulation of flowering and innate immunity.Interacts with CRY1 and CRY2 during flowering as part of a regulatory circuit including FT and CO. TOE1/TOE2 are also targets of MiR172b repression and functions in regulation of innate immunity via repression of FLS.		 nucleus, DNA-binding transcription factor activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, identical protein binding, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, negative regulation of gene expression, negative regulation of innate immune response, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, protein binding, regulation of transcription, DNA-templated, root, seed, sepal, shoot apex, shoot system, stamen, stem, transcription cis-regulatory region binding, vascular leaf, vascular leaf senescent stage	true
Gene:2046356	AT2G32680	AT2G32680.1	protein_coding	NLP20 LRR receptor protein involved in PAMP mediated immunity.	ATRLP23; RECEPTOR LIKE PROTEIN 23; RLP23	 extracellular region, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, PAMP-triggered immunity signalling pathway, carpel, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, defense response to bacterium, defense response to fungus, defense response to oomycetes, detection of molecule of fungal origin, endoplasmic reticulum, extracellular region, flower, flowering stage, guard cell, hypocotyl, inflorescence meristem, innate immune response-activating signal transduction, kinase activity, leaf apex, leaf lamina base, petal, petal differentiation and expansion stage, petiole, pollen, protein kinase binding, response to mannitol, response to molecule of bacterial origin, response to molecule of fungal origin, response to molecule of oomycetes origin, rosette leaf, sepal, shoot system, signal transduction, stamen, stem, vascular leaf, vascular leaf senescent stage	false
