TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:1009021236	AT1G53570	AT1G53570.3	protein_coding	Encodes a member of the MEKK subfamily that functions redundantly with MAPKKK3 to activate MPK3/6 downstream of multiple pattern recognition receptors and confer resistance to both bacterial and fungal pathogens.	MAP KINASE KINASE KINASE 3; MAP3KA; MAPKKK3; MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 3	 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, MAP kinase kinase kinase activity, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, pattern recognition receptor signaling pathway, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, protein binding, protein kinase activity, protein phosphorylation, regulation of defense response to bacterium, regulation of defense response to fungus, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2026096	AT1G34210	AT1G34210.1	protein_coding	Plasma membrane LRR receptor-like serine threonine kinase expressed during embryogenesis in locules until stage 6 anthers, with higher expression in the tapetal cell layer. SERK1 and SERK2 receptor kinases function redundantly as an important control point for sporophytic development  controlling male gametophyte production. The mRNA is cell-to-cell mobile.	ATSERK2; SERK2; SOMATIC EMBRYOGENESIS RECEPTOR-LIKE KINASE 2	 protein phosphorylation, F microspore release stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, anther, brassinosteroid mediated signaling pathway, carpel, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, kinase activity, leaf apex, leaf lamina base, mature plant embryo stage, microsporogenesis, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, pollen maturation, protein binding, protein phosphorylation, protein serine kinase activity, receptor serine/threonine kinase binding, root, rosette leaf, seed, sepal, shoot apex, shoot system, signaling receptor binding, stamen, stem, transmembrane receptor protein serine/threonine kinase activity, vascular leaf, vascular leaf senescent stage	true
Gene:1009021425	AT2G29350	AT2G29350.3	protein_coding	Encodes a senescence associated protein required for resistance against fungal pathogens. Negative regulator of defense against bacterial pathogens. Induced by ROS. Required for defense against ROS and fungal pathogens most likely by activating anthocyanin biosynthesis.	SAG13; SENESCENCE-ASSOCIATED GENE 13	 chloroplast, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, aging, alcohol dehydrogenase (NAD+) activity, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, defense response to insect, flower, flower pedicel, flowering stage, guard cell, inflorescence meristem, leaf, mitochondrion, peroxisome, petal, petal differentiation and expansion stage, plant embryo, plant embryo globular stage, plasma membrane, pollen, regulation of defense response, rosette, rosette leaf, sepal, stamen, stem, vascular leaf	true
Gene:6532561012	AT3G04220	AT3G04220.3	protein_coding	Target of miR825/825. Mutants have decreased resistance to fungal pathogens.		 ADP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NAD(P)+ nucleosidase activity, NAD+ nucleotidase, cyclic ADP-ribose generating, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, defense response to fungus, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, root, seed, sepal, shoot apex, signal transduction, stamen, stem, vascular leaf, vascular leaf senescent stage	false
Gene:2134024	AT4G19810	AT4G19810.1	protein_coding	ChiC encodes a Class V chitinase that is a part of glycoside hydrolase family 18 based on CAZy groupings. It appears to primarily act as an exochitinase in vitro where it predominantly cleaves a chitobiose (GlcNAc)2 residue from the non-reducing end of a chitin oligosaccharide. However, it shows some minor endochitinase activity in vitro, as well. A putative 24 amino-acid signal peptide may direct this protein to the secretory system and it has been detected in cell wall apoplastic fluid. RT-PCR experiments demonstrate that ChiC transcript levels are increased in response to abscisisc acid, jasmonic acid, and NaCl stress. Microarray results also suggest that transcript levels rise in response to osmotic stress, two fungal pathogens, a bacterial pathogen, and the elicitor flagellin. The mRNA is cell-to-cell mobile.	CHIC; CLASS V CHITINASE	 cell wall, extracellular region, LP.04 four leaves visible stage, cell wall, cell-to-cell mobile RNA, chitin binding, chitin catabolic process, chitinase activity, cotyledon, endochitinase activity, endosperm, exochitinase activity, extracellular region, flowering stage, guard cell, hypocotyl, petiole, plant embryo, plant embryo globular stage, response to abscisic acid, response to jasmonic acid, response to salt stress, root, rosette leaf, secretory vesicle, sepal, shoot apex, stamen, stem, vascular leaf	true
Gene:2084917	AT3G04720	AT3G04720.1	protein_coding	Encodes a protein similar to the antifungal chitin-binding protein hevein from rubber tree latex. mRNA levels increase in response to ethylene and turnip crinkle virus infection. The mRNA is cell-to-cell mobile.	ATPR4; HEL; HEVEIN-LIKE; PATHOGENESIS-RELATED 4; PR-4; PR4	 extracellular region, root, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT chitinase activity, NOT plant-type vacuole, carpel, cauline leaf, cell-to-cell mobile RNA, chitin binding, collective leaf structure, cotyledon, defense response to bacterium, extracellular region, flower, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo globular stage, pollen, response to ethylene, response to herbivore, response to virus, ribonuclease activity, root, rosette leaf, secretory vesicle, sepal, shoot apex, shoot system, stamen, stem, systemic acquired resistance, vascular leaf, vascular leaf senescent stage	true
Gene:1005027898	FBR	FBR	unknown	Fumonisin B1-Resistant, a programmed cell death eliciting toxin produced by the necrotrophic fungal plant pathogen  Fusarium moniliforme. Cloning is in progress. Preliminary analysis suggests a possible ncRNA gene between At3g24225 and At3g24230.	FB1-RESISTANT; FBR	 cellular component unknown, molecular function unknown, programmed cell death, cellular component unknown, molecular function unknown, programmed cell death	false
Gene:2047394	AT2G25000	AT2G25000.1	protein_coding	Pathogen-induced transcription factor. Forms protein complexes with itself and with WRKY40. Coexpression with WRKY18 or WRKY40 made plants more susceptible to both  P. syringae and B. cinerea. WRKY18, WRKY40, and WRKY60 have partially redundant roles in response to the hemibiotrophic bacterial pathogen Pseudomonas syringae and the necrotrophic fungal pathogen Botrytis cinerea, with WRKY18 playing a more important role than the other two.	ATWRKY60; WRKY DNA-BINDING PROTEIN 60; WRKY60	 nucleus, DNA-binding transcription factor activity, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, cauline leaf, collective leaf structure, cotyledon, defense response to bacterium, defense response to fungus, flower, flower pedicel, flowering stage, guard cell, hypocotyl, identical protein binding, inflorescence meristem, leaf, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, protein binding, regulation of defense response, regulation of transcription, DNA-templated, response to molecule of bacterial origin, response to salicylic acid, root, seed, sepal, sequence-specific DNA binding, shoot apex, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2138956	AT4G04780	AT4G04780.1	protein_coding	Encodes the med21 subunit of the mediator complex which is involved in transcriptional regulation. MED21 interacts physically with the E3 ligase HUB1 and this interaction may be important in mediation defense responses to fungal pathogens.	MED21; MEDIATOR 21	 nucleus, defense response to fungus, guard cell, mediator complex, nucleus, polar nucleus, protein binding, regulation of transcription by RNA polymerase II, regulation of transcription, DNA-templated, transcription coregulator activity	true
Gene:5019474594	LMS4	LMS4	unknown	Genetic locus defined by mutation with increased susceptibility to fungal pathogens . No sequence reported as of 6/2020.	L. MACULANS-SUSCEPTIBLE 4; LMS4	 cellular component unknown, defense response to fungus, molecular function unknown	false
