TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:1005837004	EDS10	EDS10	unknown	genetic locus involved in the jasmonate (JA)- and ethylene (ET)-dependent induced systemic resistance.  Mutants are more susceptible to the virulent bacterial pathogen Pseudomonas syringae Pseudomonas syringae pv. maculicola (Psm) ES4326 and to the biotrophic fungus Erysiphe orontii.	EDS10; ENHANCED DISEASE SUBSCEPTIBILITY 10	 cellular component unknown, molecular function unknown, induced systemic resistance, defense response to bacterium, cellular component unknown, defense response to bacterium, induced systemic resistance, molecular function unknown	false
Gene:1009023008	DMR5	DMR5	unknown	Susceptible to downy mildew fungus Hyaloperonospora parasitica.	DMR5; DOWNY MILDEW RESISTANT 5	 cellular component unknown, molecular function unknown, response to bacterium, response to fungus, cellular component unknown, molecular function unknown, response to bacterium, response to fungus	false
Gene:2062234	AT2G22770	AT2G22770.1	protein_coding	Regulates the development of ER bodies. also involves in response to the endophytic fungus Piriformospora indica.	NAI1	 nucleus, DNA-binding transcription factor activity, cotyledon, endoplasmic reticulum organization, flower, flowering stage, guard cell, hypocotyl, nucleus, protein dimerization activity, regulation of transcription, DNA-templated, root, shoot apex, vascular leaf	true
Gene:1006228506	AT3G11820	AT3G11820.2	protein_coding	Encodes a syntaxin localized at the plasma membrane. SYR1/PEN1 is a member of the SNARE superfamily and functions in positioning anchoring of the KAT1 K+ channel protein at the plasma membrane. Transcription is upregulated by abscisic acid, suggesting a role in ABA signaling.  Also functions in non-host resistance against barley powdery mildew. It is a nonessential component of the preinvasive resistance against Colletotrichum fungus. Required for mlo resistance. The syp121 point mutation results in stomatal phenotypes that reduce CO2 assimilation, slow vegetative growth and increase water use efficiency in the whole plant, conditional upon high light intensities and low relative humidity. The R20R21 motif of SYP121 are essential for SEC11 interaction. Mutation of the R20R21 motif blocks vesicle traffic without uncoupling the effects of SYP121 on solute and K+ uptake associated with the F9xRF motif; the mutation also mimicks the effects on traffic block observed on coexpression of the dominant negative SEC11?149 fragment.	AT-SYR1; ATSYP121; ATSYR1; PEN1; PENETRATION1; SYNTAXIN OF PLANTS 121; SYNTAXIN RELATED PROTEIN 1; SYP121; SYR1	 plasma membrane, plasmodesma, plant callus, cultured plant cell, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, SNAP receptor activity, SNARE binding, SNARE complex, carpel, cauline leaf, cell plate, collective leaf structure, cotyledon, cultured plant cell, cytosol, defense response, defense response to fungus, endomembrane system, exocytosis, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, intracellular protein transport, jasmonic acid mediated signaling pathway, leaf apex, leaf lamina base, maintenance of protein location in plasma membrane, mature plant embryo stage, membrane fusion, negative regulation of cellular defense response, negative regulation of defense response, negative regulation of programmed cell death, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plasmodesma, pollen, protein binding, protein localization to plasma membrane, protein targeting to membrane, protein-membrane adaptor activity, regulation of plant-type hypersensitive response, regulation of stomatal movement, response to abscisic acid, response to fungus, root, rosette leaf, salicylic acid mediated signaling pathway, secretion by cell, seed, sepal, shoot apex, shoot system, stamen, stem, trans-Golgi network, transpiration, vascular leaf, vascular leaf senescent stage, vesicle docking, vesicle fusion, vesicle-mediated transport	true
Gene:2081475	AT3G11820	AT3G11820.1	protein_coding	Encodes a syntaxin localized at the plasma membrane. SYR1/PEN1 is a member of the SNARE superfamily and functions in positioning anchoring of the KAT1 K+ channel protein at the plasma membrane. Transcription is upregulated by abscisic acid, suggesting a role in ABA signaling.  Also functions in non-host resistance against barley powdery mildew. It is a nonessential component of the preinvasive resistance against Colletotrichum fungus. Required for mlo resistance. The syp121 point mutation results in stomatal phenotypes that reduce CO2 assimilation, slow vegetative growth and increase water use efficiency in the whole plant, conditional upon high light intensities and low relative humidity. The R20R21 motif of SYP121 are essential for SEC11 interaction. Mutation of the R20R21 motif blocks vesicle traffic without uncoupling the effects of SYP121 on solute and K+ uptake associated with the F9xRF motif; the mutation also mimicks the effects on traffic block observed on coexpression of the dominant negative SEC11?149 fragment.	AT-SYR1; ATSYP121; ATSYR1; PEN1; PENETRATION1; SYNTAXIN OF PLANTS 121; SYNTAXIN RELATED PROTEIN 1; SYP121; SYR1	 plasma membrane, plant callus, cultured plant cell, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, SNAP receptor activity, SNARE binding, SNARE complex, carpel, cauline leaf, cell plate, collective leaf structure, cotyledon, cultured plant cell, cytosol, defense response, defense response to fungus, endomembrane system, exocytosis, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, intracellular protein transport, jasmonic acid mediated signaling pathway, leaf apex, leaf lamina base, maintenance of protein location in plasma membrane, mature plant embryo stage, membrane fusion, negative regulation of cellular defense response, negative regulation of defense response, negative regulation of programmed cell death, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plasmodesma, pollen, protein binding, protein localization to plasma membrane, protein targeting to membrane, protein-membrane adaptor activity, regulation of plant-type hypersensitive response, regulation of stomatal movement, response to abscisic acid, response to fungus, root, rosette leaf, salicylic acid mediated signaling pathway, secretion by cell, seed, sepal, shoot apex, shoot system, stamen, stem, trans-Golgi network, transpiration, vascular leaf, vascular leaf senescent stage, vesicle docking, vesicle fusion, vesicle-mediated transport	true
Gene:1009023007	DMR4	DMR4	unknown	Susceptible to downy mildew fungus Hyaloperonospora parasitica.	DMR4; DOWNY MILDEW RESISTANT 4	 cellular component unknown, molecular function unknown, response to bacterium, response to fungus, cellular component unknown, molecular function unknown, response to bacterium, response to fungus	false
Gene:6532562145	AT1G08720	AT1G08720.2	protein_coding	enhanced disease resistance 1 (EDR1) confers resistance to powdery mildew disease caused by the fungus Erysiphe cichoracearumThe mRNA is cell-to-cell mobile. Negatively regulates defense responses by interfering with the heteromeric association of EDS1 and PAD4.		 cytoplasm, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, MAP kinase kinase kinase activity, MAPK cascade, NOT nucleolus, NOT response to ethylene, carpel, cauline leaf, cell death, cell-to-cell mobile RNA, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, defense response to oomycetes, early endosome, endoplasmic reticulum, endosome, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, kinase activity, leaf apex, leaf lamina base, mature plant embryo stage, negative regulation of abscisic acid-activated signaling pathway, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein autophosphorylation, protein binding, protein kinase activity, protein phosphorylation, protein serine kinase activity, protein serine/threonine/tyrosine kinase activity, regulation of defense response to bacterium, regulation of defense response to fungus, regulation of salicylic acid mediated signaling pathway, response to bacterium, response to ethylene, response to fungus, response to water deprivation, root, seed, sepal, shoot apex, shoot system, signal transduction, stamen, stem, trans-Golgi network, trans-Golgi network transport vesicle membrane, vascular leaf, vascular leaf senescent stage	true
Gene:2197408	AT1G10920	AT1G10920.1	protein_coding	Encodes LOV1, a disease susceptibility gene that, paradoxically, is a member of the NBS-LRR resistance gene family.  Conditions susceptibility to the fungus Cochliobolus victoriae and victorin-dependent induction of defense-associated proteins. Saturation mutagenesis identified 59 lov mutations that all display reduced susceptibility to vitorin. Mutations in known defense response pathways do not prevent susceptibility to C. victoriae.	LOCUS ORCHESTRATING VICTORIN EFFECTS1; LOV1	 ADP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.10 ten leaves visible stage, collective leaf structure, cotyledon, defense response to fungus, flower, flower pedicel, flowering stage, guard cell, inflorescence meristem, leaf lamina base, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plasma membrane, response to molecule of fungal origin, seed, sepal, stamen, stem, vascular leaf	false
Gene:4515101399	AT3G09940	AT3G09940.2	protein_coding	Encodes a member of the monodehydroascorbate reductase gene family. Critical for a mutualistic symbiosis between the host Arabidopsis and the root colonizing fungus Piriformospora indica.	ATMDAR3; MDAR3; MONODEHYDROASCORBATE REDUCTASE 3	 cytoplasm, root, seedling development stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, cauline leaf, collective leaf structure, cotyledon, cytoplasm, cytosol, flavin adenine dinucleotide binding, flower, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, monodehydroascorbate reductase (NADH) activity, oxidoreductase activity, petal differentiation and expansion stage, pollen, regulation of biological process involved in symbiotic interaction, response to jasmonic acid, response to symbiotic fungus, response to water deprivation, root, rosette leaf, seedling development stage, sepal, stamen, stem, vascular leaf	true
Gene:1009021011	QRP2	QRP2	unknown	QTL involved in resistance to the necrotrophic fungus Plectosphaerella cucumerina. No sequence reported as of 7/2020.	QRP2; QUANTITATIVE RESISTANCE TO PLECTOSPHAERELLA 2	 cellular component unknown, molecular function unknown, response to fungus, cellular component unknown, molecular function unknown, response to fungus	false
