TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:2031505	AT1G73930	AT1G73930.1	protein_coding	polarity axis stabilization protein;(source:Araport11)		 chloroplast, M germinated pollen stage, carpel, chloroplast, collective leaf structure, flower, flower pedicel, flowering stage, guanyl-nucleotide exchange factor activity, guard cell, hypocotyl, mature plant embryo stage, petal, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, pollen tube cell, recycling endosome, root, seed, sepal, shoot apex, shoot system, vascular leaf	false
Gene:6532551514	AT1G65440	AT1G65440.4	protein_coding	Related to yeast Spt6 protein, which functions as part of a protein complex in transcription initiation and also plays a role in chromatin structure / assembly. It encodes a putative WG/GW-repeat protein involved in the regulation of apical-basal polarity of embryo	ARABIDOPSIS SUPPRESSOR OF TY INSERTION 6-LIKE; GLOBAL TRANSCRIPTION FACTOR GROUP B1; GTB1; SPT6L	 nucleus, DNA-templated transcription, initiation, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chromatin assembly or disassembly, collective leaf structure, cotyledon, cultured plant cell, embryo development ending in seed dormancy, flower, flower pedicel, flowering stage, guard cell, histone binding, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mRNA transcription by RNA polymerase II, mature plant embryo stage, nucleic acid binding, nucleobase-containing compound metabolic process, nucleosome binding, nucleosome organization, nucleus, obsolete chromatin maintenance, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasmodesma, pollen, positive regulation of transcription elongation from RNA polymerase II promoter, protein binding, regulation of mRNA processing, root, seed, sepal, shoot apex, shoot system, stamen, stem, transcription elongation factor complex, transcription elongation from RNA polymerase II promoter, transcriptionally active chromatin, vascular leaf, vascular leaf senescent stage	false
Gene:2206329	AT1G65440	AT1G65440.1	protein_coding	Related to yeast Spt6 protein, which functions as part of a protein complex in transcription initiation and also plays a role in chromatin structure / assembly. It encodes a putative WG/GW-repeat protein involved in the regulation of apical-basal polarity of embryo	ARABIDOPSIS SUPPRESSOR OF TY INSERTION 6-LIKE; GLOBAL TRANSCRIPTION FACTOR GROUP B1; GTB1; SPT6L	 nucleus, plasmodesma, cultured plant cell, DNA-templated transcription, initiation, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chromatin assembly or disassembly, collective leaf structure, cotyledon, cultured plant cell, embryo development ending in seed dormancy, flower, flower pedicel, flowering stage, guard cell, histone binding, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mRNA transcription by RNA polymerase II, mature plant embryo stage, nucleic acid binding, nucleobase-containing compound metabolic process, nucleosome binding, nucleosome organization, nucleus, obsolete chromatin maintenance, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasmodesma, pollen, positive regulation of transcription elongation from RNA polymerase II promoter, protein binding, regulation of mRNA processing, root, seed, sepal, shoot apex, shoot system, stamen, stem, transcription elongation factor complex, transcription elongation from RNA polymerase II promoter, transcriptionally active chromatin, vascular leaf, vascular leaf senescent stage	false
Gene:6530297155	AT3G44750	AT3G44750.2	protein_coding	Encodes a histone deacetylase. Controls the development of adaxial/abaxial leaf polarity. Two lines with RNAi-directed against this gene show reduced Agrobacterium-mediated DNA transformation of the roots. Involved in development of the vascular tissue of the stem by affecting cell proliferation and differentiation.	HDA3; HISTONE DEACETYLASE 3	 nucleus, DNA mediated transformation, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, histone deacetylase activity, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, negative regulation of transcription, DNA-templated, nucleolus, nucleus, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, polarity specification of adaxial/abaxial axis, protein binding, root, root development, seed, seed dormancy process, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2035036	AT1G73590	AT1G73590.1	protein_coding	Encodes an auxin efflux carrier involved in shoot and root development. It is involved in the maintenance of embryonic auxin gradients.  Loss of function severely affects organ initiation, pin1 mutants are characterised by an inflorescence meristem that does not initiate any flowers, resulting in the formation of a naked inflorescence stem.  PIN1 is involved in the determination of leaf shape by actively promoting development of leaf margin serrations.  In roots, the protein mainly resides at the basal end of the vascular cells, but weak signals can be detected in the epidermis and the cortex.  Expression levels and polarity of this auxin efflux carrier change during primordium development suggesting that cycles of auxin build-up and depletion accompany, and may direct, different stages of primordium development. PIN1 action on plant development does not strictly require function of PGP1 and PGP19 proteins.	ARABIDOPSIS THALIANA PIN-FORMED 1; ATPIN1; PIN-FORMED 1; PIN1	 plant-type cell wall, plasma membrane, plasmodesma, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, apical part of cell, auxin efflux, auxin efflux transmembrane transporter activity, auxin homeostasis, auxin polar transport, basal plasma membrane, carpel, cauline leaf, collective leaf structure, cotyledon, cotyledon development, cotyledon morphogenesis, cytoplasm, embryo development ending in seed dormancy, endoplasmic reticulum, epidermis, flower, flower development, flower pedicel, flowering stage, gravitropism, guard cell, hypocotyl, inflorescence development, inflorescence meristem, leaf apex, leaf formation, leaf lamina base, leaf shaping, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, phloem, phosphorylation, photomorphogenesis, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant-type cell wall, plasma membrane, plasmodesma, pollen, primary root apical meristem, protein binding, root, root development, root hair cell, seed, sepal, shoot apex, shoot system, shoot system development, stamen, stem, transmembrane transport, vascular leaf, vascular leaf senescent stage, xylem and phloem pattern formation	true
Gene:1944868	CUD	CUD	unknown	involved in root hair development, cell expansion, cell division, cell polarity. cud-1 allele is dominant and male-sterile, X-ray induced in Col.	CUD; CUDGEL	 cellular component unknown, molecular function unknown, establishment or maintenance of cell polarity, multidimensional cell growth, root epidermal cell differentiation, cellular component unknown, establishment or maintenance of cell polarity, molecular function unknown, multidimensional cell growth, root epidermal cell differentiation	false
Gene:2031859	AT1G13210	AT1G13210.1	protein_coding	Autoinhibited Ca2+/ATPase II. ALA11 acts redundantly with ALA3, ALA4, ALA5, ALA9, ALA10 in root and shoot development as well as PIN trafficking and polarity .	ACA.L; ALA11; AMINOPHOSPHOLIPID ATPASE 11; AUTOINHIBITED CA2+/ATPASE II	 mitochondrion, ATPase-coupled intramembrane lipid transporter activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, P-type ion transporter activity, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, magnesium ion binding, mature plant embryo stage, mitochondrion, petal, petal differentiation and expansion stage, petiole, phospholipid translocation, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plasma membrane, pollen, protein localization involved in auxin polar transport, root, seed, sepal, shoot apex, shoot system, stamen, stem, trichome, vascular leaf, vascular leaf senescent stage	true
Gene:3691628	AT1G63210	AT1G63210.1	protein_coding	SPT6L encodes a putative WG/GW-repeat  protein involved in the regulation of apical-basal polarity of embryo	SPT6	 nucleus, cultured plant cell, cultured plant cell, cytosol, embryo development ending in seed dormancy, flower, flowering stage, histone binding, mRNA transcription by RNA polymerase II, nucleic acid binding, nucleosome binding, nucleosome organization, nucleus, obsolete chromatin maintenance, plant sperm cell, positive regulation of transcription elongation from RNA polymerase II promoter, regulation of mRNA processing, rosette leaf, transcription elongation factor complex, transcription elongation from RNA polymerase II promoter, transcriptionally active chromatin	false
Gene:2116751	AT4G31820	AT4G31820.1	protein_coding	A member of the NPY family genes (NPY1/AT4G31820, NPY2/AT2G14820, NPY3/AT5G67440, NPY4/AT2G23050, NPY5/AT4G37590).  Encodes a protein with similarity to NHP3. Contains BTB/POZ domain. Promoter region has  canonical auxin response element binding site and Wus binding site. Co-localizes to the late endosome with PID. Regulates cotyledon development through control of PIN1 polarity in concert with PID. Also involved in sepal and gynoecia development.	ENHANCER OF PINOID; ENP; MAB4; MACCHI-BOU 4; NAKED PINS IN YUC MUTANTS 1; NPY1	 nucleus, plasma membrane, cultured plant cell, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, apical meristem, apical protein localization, auxin transport, basipetal auxin transport, carpel, cauline leaf, collective leaf structure, cotyledon, cotyledon development, cotyledon primordium, cultured plant cell, embryo shoot apical meristem, flower, flower development, flower development stage, flower meristem, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence development, inflorescence meristem, integument, late endosome, leaf apex, leaf lamina base, mature plant embryo stage, nucellus, nucleus, petal, petal differentiation and expansion stage, petiole, phyllome development, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant embryo proper, plant organ development, plasma membrane, positive regulation of flower development, protein ubiquitination, protoderm, root, seed, sepal, shoot apex, shoot apical meristem, shoot system, stem, vascular leaf, vascular leaf primordium, vascular leaf senescent stage	true
Gene:1945183	JBA	JBA	unknown	A genetic locus involved in establishing or maintaining shoot apical meristem (SAM) activity and lateral organ polarity. Lines carrying mutations in this gene have enlarged SAMs and fasciated stems. Phenotype of dominant JB-1D mutant is due to mis expression of microRNA166g.	JABBA; JBA	 cellular component unknown, molecular function unknown, primary meristem tissue development, cellular component unknown, molecular function unknown, primary meristem tissue development	false
