TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:2011343	AT1G35720	AT1G35720.1	protein_coding	Encodes a member of the annexin gene family, a diverse, multigene family of calcium-dependent, membrane-binding proteins. The protein was determined to have peroxidase activity. This activity is thought to be dependent on the presence of post-translational modifications (most likely phosphorylation). The protein was shown to be present as a mixture of monomer and homodimer. The homodimerization seems to be dependent on the presence of Ca2+ or H2O2. The dimerization was prevented by the addition of DTT, &#946;-mercaptoethanol and TCEP. Annat1 mRNA is expressed in flowers, roots,leaves and stems and is most abundant in stems. mRNA levels are increased in response to oxidative stress.  Developmental expression patterns suggest a role in Golgi-mediated polysaccharide secretion. It is a Ca  2+-permeable transporter providing a molecular link between reactive oxygen species and cytosolic Ca 2+ in plants. The mRNA is cell-to-cell mobile.	ANN1; ANNAT1; ANNEXIN 1; ATANN1; ATOXY5; OXY5	 cell wall, chloroplast, chloroplast stroma, cytosol, mitochondrion, nucleus, plasma membrane, plasmodesma, thylakoid, vacuolar membrane, vacuole, ATP binding, copper ion binding, response to cadmium ion, apoplast, fruit, root, vascular leaf, cultured plant cell, seedling development stage, pollen, ATP binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NOT cytosol, apoplast, calcium ion binding, calcium ion transmembrane transport, carpel, cauline leaf, cell wall, cell-to-cell mobile RNA, chloroplast, chloroplast stroma, collective leaf structure, copper ion binding, cotyledon, cultured plant cell, cytoplasm, cytosol, exodermis, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, hypocotyl epidermis, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, membrane, mitochondrion, nucleus, peroxidase activity, petal, petal differentiation and expansion stage, petiole, phloem sucrose unloading, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plasmodesma, pollen, pollen tube cell, potassium ion export across plasma membrane, primary root, primary root development, primary root elongation zone, protein homodimerization activity, response to abscisic acid, response to cadmium ion, response to cold, response to heat, response to osmotic stress, response to oxidative stress, response to salt stress, response to water deprivation, root, root cap, root epidermis, root hair cell, root hair tip, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, thylakoid, trichome, vacuolar membrane, vacuole, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:3685907	AT1G33560	AT1G33560.1	protein_coding	Encodes a  NBS-LRR disease resistance protein that possesses N-terminal kinase subdomains. Activation tagged mutant of ADR1 showed elevated levels of SA and reactive oxygen species in addition to number of defense gene transcripts. Exhibits resistance to number of microbial pathogens.	ACTIVATED DISEASE RESISTANCE 1; ADR1	 ADP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, defense response to bacterium, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, kinase activity, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, response to karrikin, response to other organism, response to water deprivation, root, seed, sepal, shoot apex, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2091641	AT3G14420	AT3G14420.1	protein_coding	Encodes a glycolate oxidase that modulates reactive oxygen species-mediated signal transduction during nonhost resistance. The mRNA is cell-to-cell mobile.	GLYCOLATE OXIDASE 1; GOX1	 chloroplast, chloroplast stroma, cytosol, nucleus, peroxisome, plasmodesma, apoplast, fruit, cotyledon, vascular leaf, juvenile vascular leaf, seedling development stage, cytosolic ribosome, FMN binding, NOT cytosol, apoplast, cell-to-cell mobile RNA, chloroplast, chloroplast stroma, cotyledon, cytoplasm, cytosol, cytosolic ribosome, defense response to bacterium, fruit, guard cell, hydrogen peroxide biosynthetic process, juvenile vascular leaf, mRNA binding, nucleus, oxidative photosynthetic carbon pathway, peroxisome, plasmodesma, rosette leaf, seedling development stage, vascular leaf	true
Gene:6532558511	AT4G18360	AT4G18360.4	protein_coding	Encodes a glycolate oxidase that modulates reactive oxygen species-mediated signal transduction during nonhost resistance.		 FMN binding, NOT cytosol, collective leaf structure, defense response to bacterium, flower, flowering stage, guard cell, hydrogen peroxide biosynthetic process, hypocotyl, innate immune response-activating signal transduction, mature plant embryo stage, oxidative photosynthetic carbon pathway, peroxisome, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, pollen, root, seed, sepal, shoot apex, stamen, stem, vascular leaf	true
Gene:1005714476	AT3G14420	AT3G14420.3	protein_coding	Encodes a glycolate oxidase that modulates reactive oxygen species-mediated signal transduction during nonhost resistance. The mRNA is cell-to-cell mobile.	GLYCOLATE OXIDASE 1; GOX1	 chloroplast, cytosol, nucleus, peroxisome, apoplast, fruit, cotyledon, vascular leaf, seedling development stage, cytosolic ribosome, FMN binding, NOT cytosol, apoplast, cell-to-cell mobile RNA, chloroplast, chloroplast stroma, cotyledon, cytoplasm, cytosol, cytosolic ribosome, defense response to bacterium, fruit, guard cell, hydrogen peroxide biosynthetic process, juvenile vascular leaf, mRNA binding, nucleus, oxidative photosynthetic carbon pathway, peroxisome, plasmodesma, rosette leaf, seedling development stage, vascular leaf	true
Gene:6532559120	AT3G12360	AT3G12360.2	protein_coding	Encodes a protein with an ankyrin motif and transmembrane domains that is involved in salt tolerance. Expressed throughout the plant and localized to the plasma membrane. Loss of function mutations show an increased tolerance to salt based on assaying seedling growth in the presence of salt. In the mutants, induction of genes required for production of reactive oxygen species is reduced suggesting that itn1 promotes ROS production.  It interacts with RCN1 in vivo and may regulate its subcellular localization.The mRNA is cell-to-cell mobile.		 cytoplasm, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, cellular protein localization, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, membrane, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, portion of vascular tissue, protein binding, response to salt stress, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, whole plant	true
Gene:6532558514	AT4G18360	AT4G18360.3	protein_coding	Encodes a glycolate oxidase that modulates reactive oxygen species-mediated signal transduction during nonhost resistance.		 FMN binding, NOT cytosol, collective leaf structure, defense response to bacterium, flower, flowering stage, guard cell, hydrogen peroxide biosynthetic process, hypocotyl, innate immune response-activating signal transduction, mature plant embryo stage, oxidative photosynthetic carbon pathway, peroxisome, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, pollen, root, seed, sepal, shoot apex, stamen, stem, vascular leaf	true
Gene:2077491	AT3G07910	AT3G07910.1	protein_coding	reactive oxygen species modulator-like protein;(source:Araport11)		 L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, TIM23 mitochondrial import inner membrane translocase complex, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, molecular function unknown, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, protein import into mitochondrial matrix, protein insertion into mitochondrial inner membrane, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6530297037	AT3G14415	AT3G14415.3	protein_coding	Encodes a glycolate oxidase that modulates reactive oxygen species-mediated signal transduction during nonhost resistance. The mRNA is cell-to-cell mobile.	GLYCOLATE OXIDASE 2; GOX2	 FMN binding, apoplast, cell-to-cell mobile RNA, chloroplast, chloroplast stroma, cotyledon, cytosol, defense response to bacterium, fruit, guard cell, hydrogen peroxide biosynthetic process, juvenile vascular leaf, mRNA binding, nucleus, oxidative photosynthetic carbon pathway, peroxisome, rosette leaf, seedling development stage, vacuole, vascular leaf	true
Gene:2157347	AT5G51060	AT5G51060.1	protein_coding	RHD2 (along with RHD3 and RHD4) is required for normal root hair elongation. Has NADPH oxidase activity. Gene is expressed in the elongation and differention zone in trichoblasts and elongating root hairs. RDH2 is localized to the growing tips of root hair cells. It is required for the production of reactive oxygen species in response to extracellular ATP stimulus. The increase in ROS production stimulates Ca2+ influx.	A. THALIANA RESPIRATORY BURST OXIDASE HOMOLOG C; ATRBOHC; RBOHC; RESPIRATORY BURST OXIDASE HOMOLOG C; RHD2; ROOT HAIR DEFECTIVE 2	 nucleus, NAD(P)H oxidase H2O2-forming activity, aerobic respiration, calcium ion binding, carpel, collective leaf structure, defense response, flower, flowering stage, integral component of plasma membrane, nucleus, petal differentiation and expansion stage, plasma membrane, response to ATP, root, root elongation zone, root epidermal cell differentiation, root epidermis, sepal, trichoblast	true
