TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:6532562141	AT1G64140	AT1G64140.UORF1	uORF	Derives_from AT1G64140;(source:Araport11)		 L mature pollen stage, M germinated pollen stage, biological process unknown, extracellular region, molecular function unknown, plant sperm cell, pollen, pollen tube cell	true
Gene:2047394	AT2G25000	AT2G25000.1	protein_coding	Pathogen-induced transcription factor. Forms protein complexes with itself and with WRKY40. Coexpression with WRKY18 or WRKY40 made plants more susceptible to both  P. syringae and B. cinerea. WRKY18, WRKY40, and WRKY60 have partially redundant roles in response to the hemibiotrophic bacterial pathogen Pseudomonas syringae and the necrotrophic fungal pathogen Botrytis cinerea, with WRKY18 playing a more important role than the other two.	ATWRKY60; WRKY DNA-BINDING PROTEIN 60; WRKY60	 nucleus, DNA-binding transcription factor activity, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, cauline leaf, collective leaf structure, cotyledon, defense response to bacterium, defense response to fungus, flower, flower pedicel, flowering stage, guard cell, hypocotyl, identical protein binding, inflorescence meristem, leaf, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, protein binding, regulation of defense response, regulation of transcription, DNA-templated, response to molecule of bacterial origin, response to salicylic acid, root, seed, sepal, sequence-specific DNA binding, shoot apex, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:3439784	AT4G23810	AT4G23810.1	protein_coding	member of WRKY Transcription Factor; Group III	ATWRKY53; WRKY53	 chloroplast, nucleus, DNA binding, DNA-binding transcription factor activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, defense response to bacterium, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf, leaf apex, leaf lamina base, leaf senescence, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo globular stage, positive regulation of transcription, DNA-templated, protein binding, regulation of defense response, regulation of jasmonic acid mediated signaling pathway, response to bacterium, response to chitin, response to hydrogen peroxide, response to ozone, response to salicylic acid, root, seed, sepal, shoot apex, stamen, stem, transcription cis-regulatory region binding, vascular leaf, vascular leaf senescent stage	true
Gene:3442376	AT5G56270	AT5G56270.1	protein_coding	Encodes WRKY transcription factor 2, a zinc-finger protein.  In wrky2 mutants, egg cells polarize normally but zygotes fail to reestablish polar organelle positioning from a transient symmetric state, resulting in equal cell division and distorted embryo development.	ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 2; ATWRKY2; WRKY DNA-BINDING PROTEIN 2; WRKY2	 nucleus, DNA-binding transcription factor activity, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, establishment of cell polarity, flower, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, longitudinal axis specification, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen development, pollen tube cell, protein binding, regulation of transcription, DNA-templated, root, sepal, shoot apex, shoot system, stamen, stem, transcription cis-regulatory region binding, vascular leaf, vascular leaf senescent stage	true
Gene:1005713948	AT4G11070	AT4G11070.2	protein_coding	member of WRKY Transcription Factor; Group III; AvrRps4C can associate with the DNA-binding domain.	ATWRKY41; WRKY41	 nucleus, DNA-binding transcription factor activity, guard cell, nucleus, protein binding, regulation of transcription, DNA-templated, transcription cis-regulatory region binding	true
Gene:1009021575	AT2G26530	AT2G26530.2	protein_coding	Pheromone receptor-like protein involved in the early elicitor signaling events which occur within minutes and include ion fluxes across the plasma membrane, activation of MPKs and the formation of ROS related to PGPS1 and WRKY33.	AR781	 chloroplast, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, molecular function unknown, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo globular stage, plasma membrane, pollen, response to metal ion, root, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532551740	AT4G12020	AT4G12020.10	protein_coding	Encodes a member of the A1 subgroup of the MEKK (MAPK/ERK kinase kinase) family. MEKK is another name for Mitogen-Activated Protein Kinase Kinase Kinase (MAPKKK or MAP3K).  This subgroup has four members: At4g08500 (MEKK1, also known as ARAKIN, MAP3Kb1, MAPKKK8), At4g08480 (MEKK2, also known as MAP3Kb4, MAPKKK9),  At4g08470 (MEKK3, also known as MAP3Kb3, MAPKKK10) and At4g12020 (MEKK4, also known as MAP3Kb5, MAPKKK11, WRKY19).  Nomenclatures for mitogen-activated protein kinases are described in Trends in Plant Science 2002,7(7):301. Co-regulates with DSC1  basal levels of immunity to root-knot nematodes.		 cytoplasm, ADP binding, DNA-binding transcription factor activity, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, chloroplast envelope, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, protein binding, protein kinase activity, protein phosphorylation, regulation of transcription, DNA-templated, root, seed, sepal, sequence-specific DNA binding, shoot apex, shoot system, stamen, stem, transcription cis-regulatory region binding, vascular leaf, vascular leaf senescent stage	false
Gene:6532558193	AT2G37260	AT2G37260.3	protein_coding	Encodes a protein similar to WRKY transcription factors that is expressed in the seed integument and endosperm. Mutants are defective in proanthocyanidin synthesis and seed mucilate deposition. Seeds are yellow colored. Seed size is also affected; seeds  are reduced in size but only when the mutant allele is transmitted through the female parent.Loss of function allele corresponding to the DSL QTL  are associated with a reduction in interploidy lethality.		 nucleus, DNA-binding transcription factor activity, epidermal cell fate specification, flower, guard cell, hypocotyl, leaf trichome, mature plant embryo stage, non-hair root epidermal cell, nucleus, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, regulation of transcription, DNA-templated, root, seed, seed coat development, sequence-specific DNA binding, shoot apex, shoot system, stem, vascular leaf	true
Gene:3694303	AT2G44745	AT2G44745.1	protein_coding	WRKY gene family member involved in vascular/pith development.	ATWRKY12; WRKY DNA-BINDING PROTEIN 12; WRKY12	 nucleus, DNA-binding transcription factor activity, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, nucleus, petal, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant-type cell wall biogenesis, protein binding, regulation of transcription, DNA-templated, seed, sepal, sequence-specific DNA binding, shoot apex, stem	true
Gene:3696812	AT2G30250	AT2G30250.1	protein_coding	member of WRKY Transcription Factor; Group I. Located in nucleus. Involved in response to various abiotic stresses - especially salt stress.	ATWRKY25; WRKY DNA-BINDING PROTEIN 25; WRKY25	 nucleus, DNA-binding transcription factor activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cellular heat acclimation, cellular response to heat, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, protein binding, regulation of transcription, DNA-templated, response to cold, response to osmotic stress, response to salt stress, root, seed, sepal, sequence-specific DNA binding, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
