TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:2081724	AT3G62600	AT3G62600.1	protein_coding	J domain protein localized in ER lumen. Can partially compensate for the growth defect in jem1 scj1 mutant yeast. Forms a complex SDF2-ERdj3B-BiP that is required for the proper accumulation of the surface-exposed leucine-rich repeat receptor kinases EFR.  EFR is involved in PAMP (pathogen associated molecular patterns) triggered immunity.	ATERDJ3B; ERDJ3B	 cytoplasm, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, cytosol, endoplasmic reticulum, endoplasmic reticulum lumen, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, pattern recognition receptor signaling pathway, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, pollen tube cell, protein folding, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, unfolded protein binding, vascular leaf, vascular leaf senescent stage	true
Gene:2039264	AT2G35930	AT2G35930.1	protein_coding	Encodes a cytoplasmically localized U-box domain containing E3 ubiquitin ligase that is involved in the response to water stress and acts as a negative regulator of PAMP-triggered immunity.	ATPUB23; PLANT U-BOX 23; PUB23	 cytoplasm, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, collective leaf structure, cotyledon, cotyledon vascular system, cytoplasm, cytosol, defense response, flower, guard cell, hypocotyl, leaf apex, mesophyll, petal differentiation and expansion stage, petiole, pollen, pollen tube cell, protein autoubiquitination, protein ubiquitination, respiratory burst involved in defense response, response to chitin, response to water deprivation, root, shoot apex, stem, ubiquitin-protein transferase activity, vascular leaf	true
Gene:2046356	AT2G32680	AT2G32680.1	protein_coding	NLP20 LRR receptor protein involved in PAMP mediated immunity.	ATRLP23; RECEPTOR LIKE PROTEIN 23; RLP23	 extracellular region, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, PAMP-triggered immunity signalling pathway, carpel, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, defense response to bacterium, defense response to fungus, defense response to oomycetes, detection of molecule of fungal origin, endoplasmic reticulum, extracellular region, flower, flowering stage, guard cell, hypocotyl, inflorescence meristem, innate immune response-activating signal transduction, kinase activity, leaf apex, leaf lamina base, petal, petal differentiation and expansion stage, petiole, pollen, protein kinase binding, response to mannitol, response to molecule of bacterial origin, response to molecule of fungal origin, response to molecule of oomycetes origin, rosette leaf, sepal, shoot system, signal transduction, stamen, stem, vascular leaf, vascular leaf senescent stage	false
Gene:2149921	AT5G20480	AT5G20480.1	protein_coding	Encodes a predicted leucine-rich repeat receptor kinase (LRR-RLK).  Functions as the receptor for bacterial PAMP (pathogen associated molecular patterns) EF-Tu.	EF-TU RECEPTOR; EFR	 plasma membrane, transmembrane receptor protein kinase activity, immune response-regulating signaling pathway, LP.02 two leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, detection of bacterium, flower, flower pedicel, flowering stage, guard cell, hormone-mediated signaling pathway, immune response-regulating signaling pathway, innate immune response-activating signal transduction, kinase activity, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant-type hypersensitive response, plasma membrane, pollen, protein binding, protein phosphorylation, protein serine kinase activity, regulation of anion channel activity, seed, sepal, stamen, stem, transmembrane receptor protein kinase activity, vascular leaf	true
Gene:2081505	AT3G11840	AT3G11840.1	protein_coding	Encodes a U-box-domain-containing E3 ubiquitin ligase that acts as a negative regulator of PAMP-triggered immunity.	PLANT U-BOX 24; PUB24	 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, cotyledon vascular system, defense response, flower, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mesophyll, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo cotyledonary stage, pollen, protein autoubiquitination, protein ubiquitination, respiratory burst involved in defense response, response to chitin, root, sepal, shoot apex, stamen, stem, ubiquitin-protein transferase activity, vascular leaf, vascular leaf senescent stage	true
Gene:6532549426	AT1G11960	AT1G11960.2	protein_coding	Calcium channel that is phosphorylated by BIK1 in the presence of PAMPS and required for stomatal immunity.	OSCA1.3	 extracellular region, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, PAMP-triggered immunity signalling pathway, calcium activated cation channel activity, calcium channel activity, carpel, cauline leaf, collective leaf structure, cotyledon, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein binding, root, seed, sepal, shoot apex, shoot system, stamen, stem, stomatal movement, vascular leaf, vascular leaf senescent stage	false
Gene:2007237	AT1G49800	AT1G49800.1	protein_coding	Homolog of PIP1.	PRECURSOR OF PAMP-INDUCED PEPTIDE-LIKE 1; PREPIPL1	 extracellular region, apoplast, extracellular region, flowering stage, hormone activity, nitrate import, pollen, regulation of root development, seed coat, sepal, stamen	true
Gene:4515102305	AT5G43066	AT5G43066.1	protein_coding	Homolog of prePIP1.	PRECURSOR OF PAMP-INDUCED PEPTIDE-LIKE 4; PREPIPL4	 extracellular region, cauline leaf, extracellular region, flower, root	false
Gene:6532548773	AT1G79090	AT1G79090.3	protein_coding	Encodes a component of the mRNA decapping machinery that is found in complexes with and is phosphorylated by MPK4.  The protein can be found in P-bodies after treatment with PAMPs. Pat1 mutants exhibit dwarfism and de-repressed immunity dependent on the immune receptor SUMM2.  The pat1 constitutive defense phenotype is suppressed by summ2 such that pat1 summ2 mutants display a wild-type phenotype in response to biotrophic and necrotrophic pathogens.		 cytoplasm, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, P-body, P-body assembly, RNA binding, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, deadenylation-dependent decapping of nuclear-transcribed mRNA, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, innate immune response, leaf apex, leaf lamina base, mRNA binding, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, protein binding, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532549425	AT1G11960	AT1G11960.3	protein_coding	Calcium channel that is phosphorylated by BIK1 in the presence of PAMPS and required for stomatal immunity.	OSCA1.3	 extracellular region, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, PAMP-triggered immunity signalling pathway, calcium activated cation channel activity, calcium channel activity, carpel, cauline leaf, collective leaf structure, cotyledon, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein binding, root, seed, sepal, shoot apex, shoot system, stamen, stem, stomatal movement, vascular leaf, vascular leaf senescent stage	false
