TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:1006227888	AT5G06950	AT5G06950.2	protein_coding	Transcription factor of the B-ZIP family that has high affinity for C-box motifs. Interacts with NPR1 and may regulate PR gene expression. Phosphorylated by a CK2-like protein in vitro. Phosphorylation is enhanced by salicylic acid treatment.	AHBP-1B; ATTGA2; TGA2; TGACG SEQUENCE-SPECIFIC BINDING PROTEIN 2	 nucleus, DNA binding, DNA-binding transcription factor activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, negative regulation of transcription, DNA-templated, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, positive regulation of transcription, DNA-templated, protein binding, response to xenobiotic stimulus, root, seed, sepal, shoot apex, shoot system, stamen, stem, systemic acquired resistance, salicylic acid mediated signaling pathway, transcription cis-regulatory region binding, transcription, DNA-templated, vascular leaf, vascular leaf senescent stage	true
Gene:2061150	AT2G40030	AT2G40030.1	protein_coding	Encodes the unique largest subunit of nuclear DNA-dependent RNA polymerase V; homologous to budding yeast RPB1 and the E. coli RNA polymerase beta prime subunit.  Required for normal RNA-directed DNA methylation at non-CG methylation sites and transgene silencing. The nrpe1 mutant is more resistant to biotrophic pathogens and is primed to activate salicylic acid-dependent defence genes.	ATNRPD1B; DEFECTIVE IN MERISTEM SILENCING 5; DMS5; DRD3; NRPD1B; NRPE1; NUCLEAR RNA POLYMERASE D1B	 nucleolus, nucleus, DNA binding, DNA methylation, DNA-directed 5'-3' RNA polymerase activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, RNA polymerase III complex, RNA polymerase IV complex, RNA polymerase V complex, RNA polymerase complex, carpel, cauline leaf, collective leaf structure, cotyledon, defense response to fungus, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nuclear body, nucleolus, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, post-transcriptional gene silencing by RNA, production of siRNA involved in RNA interference, protein binding, root, seed, sepal, shoot apex, shoot system, stamen, stem, transcription, DNA-templated, vascular leaf, vascular leaf senescent stage	true
Gene:1005840138	CIM6	CIM6	unknown	A genetic locus involved in systemic acquired resistance. Mutant lines exhibit constitutive expression of PR1 promoter-reporter transgene and has high levels of salicylic acid. Genetically maps to chr 1 between markers nag280 and m185.	CIM6; CONSTITUTIVE IMMUNITY 6	 cellular component unknown, molecular function unknown, systemic acquired resistance, salicylic acid mediated signaling pathway, cellular component unknown, molecular function unknown, systemic acquired resistance, salicylic acid mediated signaling pathway	false
Gene:1009022292	AT5G60410	AT5G60410.4	protein_coding	Encodes  a plant small ubiquitin-like modifier (SUMO) E3 ligase that is a focal controller of Pi starvation-dependent responses. Also required for SA and PAD4-mediated R gene signalling, which in turn confers innate immunity in Arabidopsis.  Also involved in the regulation of plant growth, drought responses and freezing tolerance. This latter effect is most likely due to SIZ1 dependent ABI5 sumoylation. Regulates leaf cell division and expansion through salicylic acid accumulation.  signaling	ATSIZ1; SAP AND MIZ1 DOMAIN- CONTAINING LIGASE1; SIZ1	 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT induced systemic resistance, jasmonic acid mediated signaling pathway, SUMO ligase activity, SUMO transferase activity, carpel, cauline leaf, cell division, cellular response to phosphate starvation, collective leaf structure, cotyledon, detection of phosphate ion, developmental growth, embryo sac development, flower, flower pedicel, flowering stage, guard cell, heat acclimation, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, negative regulation of flower development, negative regulation of systemic acquired resistance, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant ovule development, plant sperm cell, pollen, pollen tube guidance, protein binding, protein sumoylation, regulation of abscisic acid-activated signaling pathway, regulation of growth, regulation of nitrate assimilation, regulation of response to water deprivation, regulation of salicylic acid metabolic process, response to freezing, response to water deprivation, root, seed, sepal, shoot apex, shoot regeneration, shoot system, stamen, stem, unidimensional cell growth, vascular leaf, vascular leaf senescent stage, whole plant, zinc ion binding	true
Gene:1006228694	AT3G55370	AT3G55370.2	protein_coding	Encodes a nuclear localized Dof domain containing transcription factor expressed primarily in roots. Responsive to salicylic acid. Transgenic overexpressors have yellow leaves and short, defective roots.	OBF-BINDING PROTEIN 3; OBP3	 nucleus, DNA binding, DNA-binding transcription factor activity, collective leaf structure, flower, guard cell, inflorescence meristem, nucleus, petal differentiation and expansion stage, photomorphogenesis, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, pollen, positive regulation of transcription, DNA-templated, regulation of transcription, DNA-templated, root, seed, shoot apex, transcription cis-regulatory region binding	true
Gene:2172456	AT5G44030	AT5G44030.1	protein_coding	Encodes a cellulose synthase involved in secondary cell wall biosynthesis. Confers resistance towards bacterial and fungal pathogens, independent of salicylic acid, ethylene and jasmonate signaling. The mRNA is cell-to-cell mobile.	CELLULOSE SYNTHASE A4; CESA4; IRREGULAR XYLEM 5; IRX5; NWS2	 plasma membrane, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT cell wall thickening, NOT ethylene-activated signaling pathway, NOT jasmonic acid mediated signaling pathway, NOT salicylic acid mediated signaling pathway, carpel, cauline leaf, cell-to-cell mobile RNA, cellulose biosynthetic process, cellulose synthase (UDP-forming) activity, cellulose synthase activity, collective leaf structure, defense response to bacterium, defense response to fungus, flower, flower pedicel, flowering stage, glycosyltransferase activity, guard cell, gynoecium, hypocotyl, identical protein binding, inflorescence meristem, leaf apex, leaf lamina base, leaf trichome, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo cotyledonary stage, plant embryo globular stage, plant-type cell wall biogenesis, plant-type primary cell wall biogenesis, plant-type secondary cell wall biogenesis, plasma membrane, pollen, protein binding, root, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, trans-Golgi network, trichome, vascular leaf, vascular leaf senescent stage	true
Gene:3441909	AT5G55300	AT5G55300.1	protein_coding	Encodes a type-I DNA topoisomerase I. Disruptions in this gene affect phyllotaxis and plant architecture suggesting that the gene plays a critical role in the maintenance of a regular pattern of organ initiation. Isolated as a protein oxidized during seed germination; proteomics approach revealed differences in de novo synthesis levels of this protein in condition with vs. without salicylic acid in the period from 0 to 40 hrs. following seed imbibition. Functions in stem cell maintenance at all stages of shoot and floral meristems and in the regulation of gene silencing.	DNA TOPOISOMERASE I ALPHA; FAS5; FASCIATA5; MGO1; MGOUN 1; TOP1; TOP1ALPHA; TOPOISOMERASE 1	 nucleus, embryo development ending in seed dormancy, post-embryonic development, leaf morphogenesis, regulation of meristem growth, seed, cultured plant cell, plant organ formation, DNA replication, DNA topoisomerase type I (single strand cut, ATP-independent) activity, DNA topological change, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, carpel primordium, cauline leaf, chromatin remodeling, chromosome, chromosome segregation, collective leaf structure, cotyledon, cultured plant cell, embryo development ending in seed dormancy, flower, flower morphogenesis, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, leaf morphogenesis, mature plant embryo stage, meristem structural organization, nucleolus, nucleus, ovule primordium, petal, petal differentiation and expansion stage, petal primordium, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant organ formation, plant sperm cell, pollen, pollen tube cell, post-embryonic development, protein binding, regulation of meristem growth, root, rosette leaf, seed, sepal, shoot apex, shoot system, shoot system morphogenesis, stamen, stamen primordium, stem, stem cell population maintenance, vascular leaf, vascular leaf senescent stage	true
Gene:1009022962	CIM13	CIM13	unknown	A genetic locus involved in systemic acquired resistance. Mutant lines exhibit constitutive expression of PR1 promoter-reporter transgene and has high levels of salicylic acid.No sequence reported as of 8/2020.	CIM13; CONSTITUTIVE IMMUNITY 13	 cellular component unknown, molecular function unknown, systemic acquired resistance, salicylic acid mediated signaling pathway, cellular component unknown, molecular function unknown, systemic acquired resistance, salicylic acid mediated signaling pathway	false
Gene:6532548162	AT5G60410	AT5G60410.6	protein_coding	Encodes  a plant small ubiquitin-like modifier (SUMO) E3 ligase that is a focal controller of Pi starvation-dependent responses. Also required for SA and PAD4-mediated R gene signalling, which in turn confers innate immunity in Arabidopsis.  Also involved in the regulation of plant growth, drought responses and freezing tolerance. This latter effect is most likely due to SIZ1 dependent ABI5 sumoylation. Regulates leaf cell division and expansion through salicylic acid accumulation.  signaling		 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT induced systemic resistance, jasmonic acid mediated signaling pathway, SUMO ligase activity, SUMO transferase activity, carpel, cauline leaf, cell division, cellular response to phosphate starvation, collective leaf structure, cotyledon, detection of phosphate ion, developmental growth, embryo sac development, flower, flower pedicel, flowering stage, guard cell, heat acclimation, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, negative regulation of flower development, negative regulation of systemic acquired resistance, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant ovule development, plant sperm cell, pollen, pollen tube guidance, protein binding, protein sumoylation, regulation of abscisic acid-activated signaling pathway, regulation of growth, regulation of nitrate assimilation, regulation of response to water deprivation, regulation of salicylic acid metabolic process, response to freezing, response to water deprivation, root, seed, sepal, shoot apex, shoot regeneration, shoot system, stamen, stem, unidimensional cell growth, vascular leaf, vascular leaf senescent stage, whole plant, zinc ion binding	true
Gene:3437333	AT2G14580	AT2G14580.1	protein_coding	pathogenesis related protein, encodes a basic PR1-like protein. Expresses in flowers, roots, and not in leaves and responses to ethylene and methyl jasmonate. Salicylic acid represses gene expression.	ATCAPE7; ATPRB1; BASIC PATHOGENESIS-RELATED PROTEIN 1; PRB1	 extracellular region, NOT vascular leaf, defense response to other organism, extracellular region, extracellular space, flower, molecular function unknown, response to bacterium, response to ethylene, response to herbivore, response to jasmonic acid, response to salicylic acid, response to wounding, root, shoot apex, shoot system, vascular leaf	true
